date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,1
2007/2,1
2007/3,1
2007/4,1
2007/5,1
2007/6,1
2007/7,1
2007/8,1
2007/9,1
2007/10,1
2007/11,1
2007/12,3
2008/1,5
2008/2,1
2008/3,8
2008/4,6
2008/5,5
2008/6,2
2008/7,6
2008/8,4
2008/9,2
2008/10,3
2008/11,2
2008/12,3
2009/1,10
2009/2,8
2009/3,7
2009/4,3
2009/5,7
2009/6,5
2009/7,10
2009/8,9
2009/9,11
2009/10,9
2009/11,11
2009/12,8
2010/1,18
2010/2,13
2010/3,25
2010/4,17
2010/5,14
2010/6,40
2010/7,27
2010/8,54
2010/9,45
2010/10,41
2010/11,50
2010/12,45
2011/1,83
2011/2,69
2011/3,65
2011/4,65
2011/5,71
2011/6,85
2011/7,104
2011/8,94
2011/9,88
2011/10,61
2011/11,62
2011/12,69
2012/1,101
2012/2,78
2012/3,52
2012/4,66
2012/5,58
2012/6,82
2012/7,79
2012/8,77
2012/9,60
2012/10,55
2012/11,50
2012/12,51
2013/1,68
2013/2,36
2013/3,50
2013/4,54
2013/5,56
2013/6,69
2013/7,83
2013/8,76
2013/9,45
2013/10,54
2013/11,57
2013/12,51
2014/1,62
2014/2,45
2014/3,47
2014/4,39
2014/5,46
2014/6,63
2014/7,66
2014/8,70
2014/9,46
2014/10,47
2014/11,49
2014/12,40
2015/1,22
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
