date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,1
2007/2,1
2007/3,1
2007/4,1
2007/5,1
2007/6,1
2007/7,1
2007/8,1
2007/9,1
2007/10,1
2007/11,1
2007/12,1
2008/1,1
2008/2,1
2008/3,1
2008/4,1
2008/5,1
2008/6,1
2008/7,11
2008/8,9
2008/9,6
2008/10,6
2008/11,4
2008/12,6
2009/1,13
2009/2,4
2009/3,3
2009/4,10
2009/5,4
2009/6,6
2009/7,12
2009/8,12
2009/9,11
2009/10,14
2009/11,9
2009/12,11
2010/1,9
2010/2,15
2010/3,12
2010/4,11
2010/5,8
2010/6,9
2010/7,11
2010/8,11
2010/9,14
2010/10,5
2010/11,16
2010/12,8
2011/1,14
2011/2,17
2011/3,10
2011/4,13
2011/5,15
2011/6,11
2011/7,12
2011/8,19
2011/9,9
2011/10,14
2011/11,14
2011/12,7
2012/1,9
2012/2,14
2012/3,14
2012/4,10
2012/5,7
2012/6,15
2012/7,19
2012/8,10
2012/9,5
2012/10,9
2012/11,10
2012/12,10
2013/1,10
2013/2,8
2013/3,16
2013/4,15
2013/5,10
2013/6,13
2013/7,16
2013/8,16
2013/9,10
2013/10,11
2013/11,8
2013/12,14
2014/1,10
2014/2,8
2014/3,17
2014/4,13
2014/5,14
2014/6,17
2014/7,18
2014/8,17
2014/9,19
2014/10,12
2014/11,8
2014/12,10
2015/1,9
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
