date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,2
2005/7,1
2005/8,1
2005/9,1
2005/10,3
2005/11,1
2005/12,2
2006/1,3
2006/2,1
2006/3,1
2006/4,2
2006/5,3
2006/6,2
2006/7,2
2006/8,2
2006/9,4
2006/10,3
2006/11,2
2006/12,2
2007/1,3
2007/2,4
2007/3,4
2007/4,6
2007/5,6
2007/6,6
2007/7,10
2007/8,10
2007/9,11
2007/10,7
2007/11,4
2007/12,7
2008/1,13
2008/2,6
2008/3,12
2008/4,2
2008/5,10
2008/6,11
2008/7,12
2008/8,4
2008/9,11
2008/10,7
2008/11,6
2008/12,13
2009/1,16
2009/2,12
2009/3,16
2009/4,11
2009/5,10
2009/6,13
2009/7,22
2009/8,16
2009/9,11
2009/10,14
2009/11,20
2009/12,11
2010/1,25
2010/2,19
2010/3,26
2010/4,29
2010/5,20
2010/6,24
2010/7,37
2010/8,38
2010/9,31
2010/10,20
2010/11,44
2010/12,39
2011/1,52
2011/2,34
2011/3,56
2011/4,45
2011/5,57
2011/6,59
2011/7,74
2011/8,65
2011/9,50
2011/10,49
2011/11,48
2011/12,61
2012/1,62
2012/2,45
2012/3,65
2012/4,54
2012/5,63
2012/6,59
2012/7,72
2012/8,73
2012/9,48
2012/10,50
2012/11,67
2012/12,63
2013/1,68
2013/2,75
2013/3,71
2013/4,68
2013/5,87
2013/6,113
2013/7,74
2013/8,108
2013/9,96
2013/10,84
2013/11,93
2013/12,86
2014/1,120
2014/2,78
2014/3,114
2014/4,81
2014/5,98
2014/6,89
2014/7,100
2014/8,96
2014/9,96
2014/10,71
2014/11,62
2014/12,79
2015/1,28
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
