date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,2
2006/8,1
2006/9,1
2006/10,2
2006/11,1
2006/12,1
2007/1,5
2007/2,5
2007/3,2
2007/4,2
2007/5,1
2007/6,2
2007/7,2
2007/8,3
2007/9,2
2007/10,5
2007/11,2
2007/12,1
2008/1,3
2008/2,5
2008/3,5
2008/4,8
2008/5,5
2008/6,6
2008/7,11
2008/8,6
2008/9,6
2008/10,2
2008/11,3
2008/12,2
2009/1,5
2009/2,9
2009/3,2
2009/4,5
2009/5,6
2009/6,7
2009/7,11
2009/8,15
2009/9,4
2009/10,4
2009/11,8
2009/12,5
2010/1,10
2010/2,12
2010/3,6
2010/4,7
2010/5,7
2010/6,5
2010/7,11
2010/8,6
2010/9,5
2010/10,4
2010/11,6
2010/12,8
2011/1,12
2011/2,9
2011/3,6
2011/4,4
2011/5,7
2011/6,5
2011/7,15
2011/8,8
2011/9,7
2011/10,4
2011/11,6
2011/12,10
2012/1,8
2012/2,14
2012/3,8
2012/4,11
2012/5,7
2012/6,7
2012/7,11
2012/8,6
2012/9,7
2012/10,9
2012/11,10
2012/12,10
2013/1,11
2013/2,9
2013/3,8
2013/4,7
2013/5,5
2013/6,12
2013/7,18
2013/8,11
2013/9,9
2013/10,8
2013/11,9
2013/12,16
2014/1,11
2014/2,8
2014/3,11
2014/4,11
2014/5,17
2014/6,11
2014/7,12
2014/8,17
2014/9,15
2014/10,10
2014/11,15
2014/12,20
2015/1,5
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
