date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,2
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,2
2006/12,1
2007/1,2
2007/2,1
2007/3,4
2007/4,1
2007/5,1
2007/6,2
2007/7,3
2007/8,4
2007/9,1
2007/10,3
2007/11,4
2007/12,1
2008/1,3
2008/2,3
2008/3,4
2008/4,6
2008/5,3
2008/6,4
2008/7,5
2008/8,4
2008/9,4
2008/10,6
2008/11,3
2008/12,2
2009/1,5
2009/2,8
2009/3,9
2009/4,6
2009/5,7
2009/6,5
2009/7,10
2009/8,13
2009/9,14
2009/10,3
2009/11,4
2009/12,6
2010/1,8
2010/2,5
2010/3,5
2010/4,10
2010/5,12
2010/6,4
2010/7,9
2010/8,10
2010/9,4
2010/10,8
2010/11,6
2010/12,11
2011/1,12
2011/2,7
2011/3,6
2011/4,7
2011/5,8
2011/6,9
2011/7,14
2011/8,14
2011/9,19
2011/10,6
2011/11,8
2011/12,7
2012/1,16
2012/2,17
2012/3,13
2012/4,12
2012/5,15
2012/6,11
2012/7,13
2012/8,16
2012/9,17
2012/10,14
2012/11,17
2012/12,4
2013/1,9
2013/2,12
2013/3,18
2013/4,18
2013/5,9
2013/6,21
2013/7,9
2013/8,14
2013/9,15
2013/10,18
2013/11,14
2013/12,16
2014/1,10
2014/2,19
2014/3,14
2014/4,14
2014/5,11
2014/6,14
2014/7,15
2014/8,16
2014/9,13
2014/10,10
2014/11,15
2014/12,15
2015/1,6
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
