date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,2
2005/12,2
2006/1,5
2006/2,2
2006/3,2
2006/4,4
2006/5,3
2006/6,2
2006/7,5
2006/8,6
2006/9,11
2006/10,5
2006/11,5
2006/12,1
2007/1,8
2007/2,7
2007/3,4
2007/4,5
2007/5,6
2007/6,6
2007/7,8
2007/8,4
2007/9,5
2007/10,14
2007/11,3
2007/12,7
2008/1,21
2008/2,12
2008/3,11
2008/4,9
2008/5,14
2008/6,14
2008/7,22
2008/8,17
2008/9,19
2008/10,6
2008/11,11
2008/12,14
2009/1,18
2009/2,14
2009/3,25
2009/4,24
2009/5,20
2009/6,35
2009/7,37
2009/8,23
2009/9,20
2009/10,13
2009/11,27
2009/12,20
2010/1,34
2010/2,26
2010/3,32
2010/4,22
2010/5,27
2010/6,27
2010/7,30
2010/8,38
2010/9,23
2010/10,26
2010/11,39
2010/12,34
2011/1,33
2011/2,31
2011/3,37
2011/4,34
2011/5,35
2011/6,36
2011/7,41
2011/8,41
2011/9,42
2011/10,32
2011/11,35
2011/12,36
2012/1,42
2012/2,23
2012/3,32
2012/4,29
2012/5,35
2012/6,38
2012/7,35
2012/8,28
2012/9,32
2012/10,19
2012/11,26
2012/12,33
2013/1,26
2013/2,18
2013/3,19
2013/4,23
2013/5,20
2013/6,23
2013/7,35
2013/8,25
2013/9,23
2013/10,19
2013/11,26
2013/12,25
2014/1,32
2014/2,27
2014/3,22
2014/4,35
2014/5,15
2014/6,19
2014/7,39
2014/8,28
2014/9,27
2014/10,32
2014/11,29
2014/12,28
2015/1,7
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
