date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,2
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,2
2006/1,3
2006/2,2
2006/3,2
2006/4,1
2006/5,3
2006/6,3
2006/7,3
2006/8,2
2006/9,4
2006/10,1
2006/11,1
2006/12,7
2007/1,4
2007/2,5
2007/3,3
2007/4,3
2007/5,5
2007/6,3
2007/7,4
2007/8,9
2007/9,9
2007/10,12
2007/11,7
2007/12,11
2008/1,14
2008/2,8
2008/3,11
2008/4,10
2008/5,24
2008/6,13
2008/7,19
2008/8,9
2008/9,18
2008/10,13
2008/11,14
2008/12,10
2009/1,13
2009/2,9
2009/3,17
2009/4,16
2009/5,16
2009/6,23
2009/7,23
2009/8,29
2009/9,23
2009/10,20
2009/11,20
2009/12,20
2010/1,24
2010/2,27
2010/3,25
2010/4,22
2010/5,20
2010/6,22
2010/7,21
2010/8,30
2010/9,29
2010/10,26
2010/11,23
2010/12,16
2011/1,41
2011/2,20
2011/3,30
2011/4,22
2011/5,31
2011/6,26
2011/7,40
2011/8,29
2011/9,30
2011/10,29
2011/11,18
2011/12,23
2012/1,24
2012/2,37
2012/3,29
2012/4,27
2012/5,30
2012/6,16
2012/7,34
2012/8,29
2012/9,15
2012/10,24
2012/11,20
2012/12,26
2013/1,31
2013/2,22
2013/3,33
2013/4,14
2013/5,26
2013/6,23
2013/7,29
2013/8,32
2013/9,15
2013/10,18
2013/11,19
2013/12,30
2014/1,29
2014/2,31
2014/3,26
2014/4,24
2014/5,22
2014/6,26
2014/7,32
2014/8,22
2014/9,23
2014/10,23
2014/11,25
2014/12,19
2015/1,11
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
