date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,2
2005/12,1
2006/1,2
2006/2,1
2006/3,2
2006/4,1
2006/5,1
2006/6,2
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,2
2006/12,1
2007/1,5
2007/2,1
2007/3,4
2007/4,3
2007/5,3
2007/6,1
2007/7,3
2007/8,4
2007/9,2
2007/10,4
2007/11,3
2007/12,2
2008/1,5
2008/2,3
2008/3,4
2008/4,3
2008/5,3
2008/6,9
2008/7,7
2008/8,5
2008/9,5
2008/10,8
2008/11,6
2008/12,4
2009/1,3
2009/2,8
2009/3,6
2009/4,6
2009/5,8
2009/6,10
2009/7,8
2009/8,8
2009/9,8
2009/10,7
2009/11,6
2009/12,3
2010/1,5
2010/2,6
2010/3,4
2010/4,6
2010/5,6
2010/6,10
2010/7,8
2010/8,14
2010/9,8
2010/10,16
2010/11,9
2010/12,7
2011/1,5
2011/2,6
2011/3,7
2011/4,8
2011/5,8
2011/6,14
2011/7,12
2011/8,10
2011/9,7
2011/10,18
2011/11,9
2011/12,8
2012/1,11
2012/2,12
2012/3,21
2012/4,12
2012/5,10
2012/6,10
2012/7,12
2012/8,10
2012/9,9
2012/10,19
2012/11,13
2012/12,6
2013/1,13
2013/2,8
2013/3,11
2013/4,12
2013/5,10
2013/6,11
2013/7,7
2013/8,14
2013/9,9
2013/10,15
2013/11,13
2013/12,13
2014/1,13
2014/2,14
2014/3,17
2014/4,14
2014/5,16
2014/6,21
2014/7,15
2014/8,12
2014/9,16
2014/10,15
2014/11,13
2014/12,9
2015/1,2
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
