date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,2
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,3
2006/6,1
2006/7,1
2006/8,2
2006/9,2
2006/10,1
2006/11,1
2006/12,1
2007/1,2
2007/2,5
2007/3,2
2007/4,3
2007/5,1
2007/6,3
2007/7,1
2007/8,4
2007/9,4
2007/10,4
2007/11,7
2007/12,8
2008/1,7
2008/2,6
2008/3,5
2008/4,8
2008/5,11
2008/6,14
2008/7,9
2008/8,11
2008/9,12
2008/10,4
2008/11,6
2008/12,7
2009/1,18
2009/2,13
2009/3,23
2009/4,20
2009/5,12
2009/6,15
2009/7,16
2009/8,21
2009/9,17
2009/10,15
2009/11,18
2009/12,26
2010/1,32
2010/2,15
2010/3,12
2010/4,9
2010/5,20
2010/6,10
2010/7,15
2010/8,21
2010/9,31
2010/10,16
2010/11,17
2010/12,20
2011/1,17
2011/2,26
2011/3,17
2011/4,20
2011/5,29
2011/6,23
2011/7,15
2011/8,14
2011/9,15
2011/10,10
2011/11,15
2011/12,12
2012/1,21
2012/2,14
2012/3,12
2012/4,17
2012/5,12
2012/6,11
2012/7,17
2012/8,14
2012/9,21
2012/10,23
2012/11,17
2012/12,12
2013/1,29
2013/2,15
2013/3,23
2013/4,17
2013/5,14
2013/6,20
2013/7,21
2013/8,19
2013/9,18
2013/10,27
2013/11,25
2013/12,14
2014/1,17
2014/2,22
2014/3,22
2014/4,24
2014/5,26
2014/6,17
2014/7,24
2014/8,24
2014/9,18
2014/10,13
2014/11,28
2014/12,18
2015/1,12
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
