date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,1
2007/2,1
2007/3,1
2007/4,1
2007/5,1
2007/6,1
2007/7,1
2007/8,1
2007/9,1
2007/10,1
2007/11,1
2007/12,1
2008/1,1
2008/2,1
2008/3,1
2008/4,1
2008/5,1
2008/6,1
2008/7,1
2008/8,1
2008/9,1
2008/10,1
2008/11,1
2008/12,1
2009/1,1
2009/2,1
2009/3,1
2009/4,1
2009/5,1
2009/6,1
2009/7,1
2009/8,1
2009/9,1
2009/10,1
2009/11,1
2009/12,1
2010/1,1
2010/2,1
2010/3,1
2010/4,1
2010/5,1
2010/6,1
2010/7,1
2010/8,1
2010/9,1
2010/10,1
2010/11,1
2010/12,1
2011/1,1
2011/2,1
2011/3,1
2011/4,1
2011/5,1
2011/6,5
2011/7,11
2011/8,5
2011/9,3
2011/10,11
2011/11,9
2011/12,10
2012/1,18
2012/2,14
2012/3,8
2012/4,8
2012/5,17
2012/6,27
2012/7,24
2012/8,30
2012/9,15
2012/10,15
2012/11,18
2012/12,25
2013/1,22
2013/2,29
2013/3,26
2013/4,24
2013/5,21
2013/6,42
2013/7,46
2013/8,41
2013/9,32
2013/10,20
2013/11,31
2013/12,36
2014/1,40
2014/2,35
2014/3,45
2014/4,39
2014/5,57
2014/6,52
2014/7,72
2014/8,40
2014/9,38
2014/10,36
2014/11,32
2014/12,24
2015/1,6
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
