date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,2
2005/12,1
2006/1,1
2006/2,1
2006/3,2
2006/4,3
2006/5,1
2006/6,1
2006/7,3
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,2
2007/2,3
2007/3,1
2007/4,2
2007/5,2
2007/6,2
2007/7,2
2007/8,1
2007/9,4
2007/10,1
2007/11,2
2007/12,4
2008/1,2
2008/2,4
2008/3,2
2008/4,2
2008/5,4
2008/6,4
2008/7,5
2008/8,2
2008/9,4
2008/10,5
2008/11,5
2008/12,4
2009/1,6
2009/2,4
2009/3,5
2009/4,7
2009/5,5
2009/6,7
2009/7,7
2009/8,5
2009/9,3
2009/10,9
2009/11,9
2009/12,5
2010/1,6
2010/2,8
2010/3,9
2010/4,11
2010/5,10
2010/6,7
2010/7,12
2010/8,15
2010/9,8
2010/10,5
2010/11,11
2010/12,7
2011/1,14
2011/2,15
2011/3,10
2011/4,9
2011/5,10
2011/6,8
2011/7,17
2011/8,12
2011/9,12
2011/10,13
2011/11,14
2011/12,14
2012/1,18
2012/2,16
2012/3,13
2012/4,17
2012/5,9
2012/6,18
2012/7,14
2012/8,14
2012/9,14
2012/10,11
2012/11,8
2012/12,6
2013/1,21
2013/2,9
2013/3,14
2013/4,14
2013/5,17
2013/6,23
2013/7,24
2013/8,13
2013/9,14
2013/10,23
2013/11,20
2013/12,16
2014/1,26
2014/2,11
2014/3,18
2014/4,17
2014/5,20
2014/6,20
2014/7,27
2014/8,19
2014/9,19
2014/10,19
2014/11,29
2014/12,22
2015/1,11
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
