date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,1
2007/2,1
2007/3,1
2007/4,1
2007/5,1
2007/6,1
2007/7,1
2007/8,1
2007/9,1
2007/10,1
2007/11,1
2007/12,1
2008/1,1
2008/2,1
2008/3,1
2008/4,1
2008/5,1
2008/6,1
2008/7,2
2008/8,10
2008/9,8
2008/10,9
2008/11,10
2008/12,9
2009/1,14
2009/2,4
2009/3,12
2009/4,10
2009/5,9
2009/6,10
2009/7,14
2009/8,11
2009/9,11
2009/10,4
2009/11,15
2009/12,10
2010/1,17
2010/2,12
2010/3,7
2010/4,6
2010/5,9
2010/6,12
2010/7,20
2010/8,22
2010/9,12
2010/10,18
2010/11,9
2010/12,9
2011/1,13
2011/2,15
2011/3,16
2011/4,17
2011/5,9
2011/6,20
2011/7,16
2011/8,20
2011/9,14
2011/10,7
2011/11,25
2011/12,16
2012/1,23
2012/2,15
2012/3,19
2012/4,21
2012/5,18
2012/6,16
2012/7,30
2012/8,21
2012/9,16
2012/10,14
2012/11,15
2012/12,6
2013/1,22
2013/2,20
2013/3,16
2013/4,15
2013/5,14
2013/6,14
2013/7,19
2013/8,14
2013/9,16
2013/10,25
2013/11,15
2013/12,19
2014/1,25
2014/2,14
2014/3,23
2014/4,33
2014/5,23
2014/6,25
2014/7,32
2014/8,21
2014/9,21
2014/10,23
2014/11,21
2014/12,31
2015/1,4
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
