date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,2
2005/4,2
2005/5,1
2005/6,2
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,2
2006/1,2
2006/2,1
2006/3,3
2006/4,2
2006/5,2
2006/6,2
2006/7,1
2006/8,3
2006/9,2
2006/10,2
2006/11,1
2006/12,2
2007/1,3
2007/2,5
2007/3,3
2007/4,3
2007/5,5
2007/6,10
2007/7,11
2007/8,4
2007/9,4
2007/10,6
2007/11,2
2007/12,7
2008/1,12
2008/2,4
2008/3,4
2008/4,8
2008/5,8
2008/6,5
2008/7,9
2008/8,10
2008/9,8
2008/10,7
2008/11,4
2008/12,4
2009/1,9
2009/2,10
2009/3,7
2009/4,14
2009/5,6
2009/6,5
2009/7,9
2009/8,15
2009/9,11
2009/10,5
2009/11,10
2009/12,7
2010/1,11
2010/2,12
2010/3,10
2010/4,8
2010/5,8
2010/6,14
2010/7,11
2010/8,17
2010/9,8
2010/10,19
2010/11,10
2010/12,8
2011/1,14
2011/2,9
2011/3,10
2011/4,9
2011/5,16
2011/6,9
2011/7,15
2011/8,12
2011/9,14
2011/10,9
2011/11,11
2011/12,13
2012/1,10
2012/2,13
2012/3,9
2012/4,16
2012/5,5
2012/6,9
2012/7,10
2012/8,13
2012/9,14
2012/10,4
2012/11,5
2012/12,8
2013/1,11
2013/2,9
2013/3,6
2013/4,10
2013/5,14
2013/6,9
2013/7,9
2013/8,21
2013/9,10
2013/10,14
2013/11,6
2013/12,17
2014/1,14
2014/2,18
2014/3,12
2014/4,13
2014/5,11
2014/6,12
2014/7,8
2014/8,13
2014/9,8
2014/10,9
2014/11,14
2014/12,9
2015/1,3
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
