date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,2
2005/8,2
2005/9,1
2005/10,1
2005/11,1
2005/12,2
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,2
2006/10,1
2006/11,2
2006/12,3
2007/1,8
2007/2,2
2007/3,5
2007/4,3
2007/5,2
2007/6,3
2007/7,4
2007/8,2
2007/9,3
2007/10,4
2007/11,1
2007/12,2
2008/1,4
2008/2,6
2008/3,6
2008/4,5
2008/5,7
2008/6,4
2008/7,4
2008/8,9
2008/9,8
2008/10,3
2008/11,3
2008/12,3
2009/1,15
2009/2,6
2009/3,7
2009/4,7
2009/5,9
2009/6,7
2009/7,10
2009/8,8
2009/9,7
2009/10,10
2009/11,5
2009/12,5
2010/1,10
2010/2,13
2010/3,10
2010/4,13
2010/5,7
2010/6,8
2010/7,14
2010/8,9
2010/9,17
2010/10,7
2010/11,12
2010/12,11
2011/1,13
2011/2,9
2011/3,19
2011/4,21
2011/5,17
2011/6,19
2011/7,25
2011/8,17
2011/9,17
2011/10,18
2011/11,15
2011/12,20
2012/1,16
2012/2,21
2012/3,21
2012/4,15
2012/5,17
2012/6,16
2012/7,17
2012/8,17
2012/9,14
2012/10,18
2012/11,20
2012/12,13
2013/1,20
2013/2,11
2013/3,27
2013/4,14
2013/5,14
2013/6,24
2013/7,19
2013/8,22
2013/9,22
2013/10,18
2013/11,25
2013/12,16
2014/1,36
2014/2,24
2014/3,24
2014/4,34
2014/5,19
2014/6,26
2014/7,36
2014/8,36
2014/9,27
2014/10,29
2014/11,23
2014/12,27
2015/1,11
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
