date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,2
2006/5,5
2006/6,1
2006/7,6
2006/8,4
2006/9,5
2006/10,3
2006/11,1
2006/12,3
2007/1,6
2007/2,2
2007/3,3
2007/4,5
2007/5,6
2007/6,7
2007/7,10
2007/8,12
2007/9,9
2007/10,12
2007/11,8
2007/12,10
2008/1,15
2008/2,11
2008/3,27
2008/4,16
2008/5,17
2008/6,26
2008/7,19
2008/8,30
2008/9,16
2008/10,19
2008/11,20
2008/12,24
2009/1,43
2009/2,19
2009/3,32
2009/4,36
2009/5,23
2009/6,23
2009/7,47
2009/8,28
2009/9,34
2009/10,17
2009/11,39
2009/12,42
2010/1,56
2010/2,35
2010/3,33
2010/4,39
2010/5,28
2010/6,47
2010/7,37
2010/8,56
2010/9,29
2010/10,34
2010/11,38
2010/12,32
2011/1,51
2011/2,26
2011/3,41
2011/4,37
2011/5,36
2011/6,36
2011/7,44
2011/8,46
2011/9,39
2011/10,33
2011/11,20
2011/12,41
2012/1,43
2012/2,21
2012/3,29
2012/4,28
2012/5,38
2012/6,47
2012/7,49
2012/8,38
2012/9,23
2012/10,18
2012/11,19
2012/12,23
2013/1,30
2013/2,34
2013/3,30
2013/4,19
2013/5,19
2013/6,30
2013/7,33
2013/8,41
2013/9,22
2013/10,18
2013/11,31
2013/12,33
2014/1,37
2014/2,26
2014/3,28
2014/4,30
2014/5,26
2014/6,32
2014/7,29
2014/8,39
2014/9,22
2014/10,22
2014/11,19
2014/12,33
2015/1,9
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
