date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,2
2006/3,1
2006/4,1
2006/5,2
2006/6,1
2006/7,1
2006/8,3
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,1
2007/2,3
2007/3,3
2007/4,1
2007/5,1
2007/6,3
2007/7,1
2007/8,2
2007/9,4
2007/10,2
2007/11,1
2007/12,1
2008/1,3
2008/2,2
2008/3,4
2008/4,3
2008/5,1
2008/6,1
2008/7,2
2008/8,3
2008/9,1
2008/10,1
2008/11,5
2008/12,3
2009/1,7
2009/2,7
2009/3,5
2009/4,3
2009/5,1
2009/6,4
2009/7,4
2009/8,2
2009/9,3
2009/10,5
2009/11,5
2009/12,2
2010/1,2
2010/2,2
2010/3,4
2010/4,4
2010/5,6
2010/6,3
2010/7,5
2010/8,10
2010/9,3
2010/10,5
2010/11,7
2010/12,6
2011/1,6
2011/2,4
2011/3,5
2011/4,10
2011/5,4
2011/6,7
2011/7,13
2011/8,11
2011/9,8
2011/10,6
2011/11,7
2011/12,4
2012/1,10
2012/2,12
2012/3,7
2012/4,8
2012/5,4
2012/6,9
2012/7,14
2012/8,12
2012/9,11
2012/10,11
2012/11,10
2012/12,7
2013/1,9
2013/2,9
2013/3,11
2013/4,8
2013/5,9
2013/6,6
2013/7,13
2013/8,21
2013/9,11
2013/10,18
2013/11,15
2013/12,11
2014/1,23
2014/2,11
2014/3,19
2014/4,20
2014/5,24
2014/6,27
2014/7,26
2014/8,17
2014/9,25
2014/10,18
2014/11,20
2014/12,16
2015/1,10
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
