date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,2
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,1
2007/1,2
2007/2,1
2007/3,1
2007/4,4
2007/5,2
2007/6,1
2007/7,3
2007/8,1
2007/9,1
2007/10,1
2007/11,3
2007/12,3
2008/1,2
2008/2,1
2008/3,1
2008/4,1
2008/5,4
2008/6,6
2008/7,1
2008/8,3
2008/9,1
2008/10,3
2008/11,1
2008/12,2
2009/1,3
2009/2,1
2009/3,2
2009/4,3
2009/5,1
2009/6,5
2009/7,4
2009/8,7
2009/9,5
2009/10,3
2009/11,3
2009/12,7
2010/1,10
2010/2,3
2010/3,6
2010/4,13
2010/5,8
2010/6,16
2010/7,19
2010/8,20
2010/9,17
2010/10,13
2010/11,19
2010/12,13
2011/1,16
2011/2,10
2011/3,19
2011/4,11
2011/5,13
2011/6,6
2011/7,12
2011/8,13
2011/9,6
2011/10,12
2011/11,6
2011/12,9
2012/1,7
2012/2,6
2012/3,13
2012/4,10
2012/5,13
2012/6,8
2012/7,14
2012/8,15
2012/9,11
2012/10,9
2012/11,14
2012/12,9
2013/1,11
2013/2,4
2013/3,15
2013/4,15
2013/5,7
2013/6,9
2013/7,11
2013/8,6
2013/9,8
2013/10,7
2013/11,8
2013/12,6
2014/1,3
2014/2,8
2014/3,9
2014/4,4
2014/5,10
2014/6,7
2014/7,4
2014/8,6
2014/9,6
2014/10,6
2014/11,8
2014/12,5
2015/1,2
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
