date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,2
2006/5,1
2006/6,2
2006/7,1
2006/8,1
2006/9,2
2006/10,2
2006/11,1
2006/12,1
2007/1,1
2007/2,2
2007/3,4
2007/4,2
2007/5,3
2007/6,3
2007/7,1
2007/8,2
2007/9,4
2007/10,3
2007/11,3
2007/12,1
2008/1,7
2008/2,3
2008/3,4
2008/4,4
2008/5,5
2008/6,6
2008/7,10
2008/8,11
2008/9,7
2008/10,7
2008/11,4
2008/12,4
2009/1,13
2009/2,9
2009/3,7
2009/4,3
2009/5,5
2009/6,7
2009/7,10
2009/8,5
2009/9,7
2009/10,10
2009/11,5
2009/12,5
2010/1,9
2010/2,8
2010/3,7
2010/4,8
2010/5,4
2010/6,5
2010/7,10
2010/8,8
2010/9,8
2010/10,7
2010/11,8
2010/12,9
2011/1,14
2011/2,12
2011/3,13
2011/4,9
2011/5,11
2011/6,9
2011/7,19
2011/8,12
2011/9,11
2011/10,5
2011/11,6
2011/12,15
2012/1,12
2012/2,9
2012/3,7
2012/4,8
2012/5,12
2012/6,12
2012/7,9
2012/8,5
2012/9,14
2012/10,12
2012/11,12
2012/12,10
2013/1,9
2013/2,9
2013/3,8
2013/4,7
2013/5,13
2013/6,14
2013/7,12
2013/8,14
2013/9,14
2013/10,6
2013/11,9
2013/12,10
2014/1,12
2014/2,11
2014/3,14
2014/4,13
2014/5,18
2014/6,17
2014/7,29
2014/8,16
2014/9,8
2014/10,8
2014/11,10
2014/12,8
2015/1,4
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
