date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,2
2005/8,1
2005/9,2
2005/10,2
2005/11,1
2005/12,2
2006/1,2
2006/2,1
2006/3,4
2006/4,4
2006/5,1
2006/6,1
2006/7,1
2006/8,4
2006/9,3
2006/10,2
2006/11,2
2006/12,4
2007/1,3
2007/2,1
2007/3,5
2007/4,1
2007/5,5
2007/6,3
2007/7,4
2007/8,5
2007/9,5
2007/10,2
2007/11,4
2007/12,5
2008/1,5
2008/2,6
2008/3,7
2008/4,8
2008/5,8
2008/6,6
2008/7,8
2008/8,8
2008/9,12
2008/10,2
2008/11,6
2008/12,8
2009/1,18
2009/2,9
2009/3,6
2009/4,7
2009/5,7
2009/6,6
2009/7,7
2009/8,8
2009/9,5
2009/10,7
2009/11,12
2009/12,8
2010/1,16
2010/2,15
2010/3,12
2010/4,18
2010/5,10
2010/6,15
2010/7,16
2010/8,15
2010/9,20
2010/10,9
2010/11,16
2010/12,19
2011/1,19
2011/2,26
2011/3,31
2011/4,22
2011/5,28
2011/6,28
2011/7,26
2011/8,28
2011/9,20
2011/10,14
2011/11,27
2011/12,21
2012/1,26
2012/2,22
2012/3,22
2012/4,18
2012/5,31
2012/6,28
2012/7,21
2012/8,28
2012/9,26
2012/10,27
2012/11,27
2012/12,29
2013/1,37
2013/2,36
2013/3,37
2013/4,38
2013/5,31
2013/6,37
2013/7,30
2013/8,38
2013/9,38
2013/10,25
2013/11,30
2013/12,47
2014/1,51
2014/2,42
2014/3,33
2014/4,33
2014/5,47
2014/6,53
2014/7,49
2014/8,52
2014/9,38
2014/10,35
2014/11,29
2014/12,48
2015/1,18
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
