date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,2
2006/5,1
2006/6,2
2006/7,1
2006/8,2
2006/9,3
2006/10,2
2006/11,2
2006/12,1
2007/1,2
2007/2,4
2007/3,3
2007/4,2
2007/5,1
2007/6,5
2007/7,4
2007/8,8
2007/9,3
2007/10,3
2007/11,6
2007/12,2
2008/1,3
2008/2,9
2008/3,5
2008/4,8
2008/5,5
2008/6,6
2008/7,10
2008/8,3
2008/9,5
2008/10,7
2008/11,8
2008/12,13
2009/1,12
2009/2,9
2009/3,8
2009/4,10
2009/5,6
2009/6,7
2009/7,10
2009/8,9
2009/9,9
2009/10,8
2009/11,6
2009/12,12
2010/1,14
2010/2,11
2010/3,19
2010/4,21
2010/5,17
2010/6,15
2010/7,31
2010/8,18
2010/9,10
2010/10,14
2010/11,16
2010/12,22
2011/1,17
2011/2,12
2011/3,16
2011/4,23
2011/5,15
2011/6,14
2011/7,28
2011/8,25
2011/9,20
2011/10,9
2011/11,14
2011/12,10
2012/1,22
2012/2,12
2012/3,14
2012/4,16
2012/5,10
2012/6,24
2012/7,14
2012/8,18
2012/9,11
2012/10,14
2012/11,6
2012/12,12
2013/1,14
2013/2,16
2013/3,10
2013/4,9
2013/5,11
2013/6,8
2013/7,15
2013/8,13
2013/9,8
2013/10,11
2013/11,13
2013/12,13
2014/1,15
2014/2,11
2014/3,15
2014/4,18
2014/5,12
2014/6,20
2014/7,30
2014/8,11
2014/9,11
2014/10,11
2014/11,12
2014/12,16
2015/1,4
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
