date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,3
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,2
2005/12,2
2006/1,2
2006/2,4
2006/3,1
2006/4,1
2006/5,2
2006/6,1
2006/7,1
2006/8,2
2006/9,4
2006/10,4
2006/11,1
2006/12,3
2007/1,7
2007/2,4
2007/3,4
2007/4,5
2007/5,5
2007/6,4
2007/7,4
2007/8,10
2007/9,4
2007/10,5
2007/11,4
2007/12,5
2008/1,11
2008/2,10
2008/3,11
2008/4,7
2008/5,11
2008/6,5
2008/7,9
2008/8,14
2008/9,11
2008/10,6
2008/11,6
2008/12,10
2009/1,13
2009/2,8
2009/3,9
2009/4,9
2009/5,10
2009/6,12
2009/7,14
2009/8,11
2009/9,15
2009/10,10
2009/11,11
2009/12,11
2010/1,17
2010/2,15
2010/3,6
2010/4,17
2010/5,14
2010/6,18
2010/7,20
2010/8,24
2010/9,10
2010/10,12
2010/11,18
2010/12,8
2011/1,22
2011/2,20
2011/3,21
2011/4,26
2011/5,12
2011/6,11
2011/7,20
2011/8,17
2011/9,13
2011/10,14
2011/11,9
2011/12,24
2012/1,18
2012/2,12
2012/3,14
2012/4,9
2012/5,16
2012/6,23
2012/7,17
2012/8,22
2012/9,20
2012/10,11
2012/11,18
2012/12,13
2013/1,20
2013/2,13
2013/3,12
2013/4,11
2013/5,20
2013/6,15
2013/7,19
2013/8,25
2013/9,23
2013/10,14
2013/11,30
2013/12,17
2014/1,24
2014/2,13
2014/3,16
2014/4,28
2014/5,19
2014/6,17
2014/7,27
2014/8,11
2014/9,16
2014/10,16
2014/11,14
2014/12,20
2015/1,9
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
