date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,2
2005/9,1
2005/10,1
2005/11,1
2005/12,2
2006/1,3
2006/2,4
2006/3,4
2006/4,3
2006/5,5
2006/6,1
2006/7,2
2006/8,1
2006/9,5
2006/10,3
2006/11,3
2006/12,4
2007/1,6
2007/2,3
2007/3,2
2007/4,4
2007/5,9
2007/6,7
2007/7,7
2007/8,5
2007/9,7
2007/10,14
2007/11,8
2007/12,6
2008/1,20
2008/2,18
2008/3,22
2008/4,16
2008/5,19
2008/6,22
2008/7,20
2008/8,15
2008/9,19
2008/10,14
2008/11,19
2008/12,15
2009/1,33
2009/2,22
2009/3,18
2009/4,26
2009/5,21
2009/6,21
2009/7,32
2009/8,27
2009/9,26
2009/10,22
2009/11,19
2009/12,19
2010/1,31
2010/2,23
2010/3,36
2010/4,35
2010/5,34
2010/6,33
2010/7,34
2010/8,40
2010/9,39
2010/10,32
2010/11,30
2010/12,29
2011/1,46
2011/2,39
2011/3,38
2011/4,28
2011/5,44
2011/6,24
2011/7,32
2011/8,36
2011/9,26
2011/10,31
2011/11,27
2011/12,26
2012/1,33
2012/2,22
2012/3,35
2012/4,21
2012/5,39
2012/6,31
2012/7,29
2012/8,37
2012/9,29
2012/10,30
2012/11,22
2012/12,25
2013/1,37
2013/2,31
2013/3,25
2013/4,22
2013/5,21
2013/6,31
2013/7,29
2013/8,24
2013/9,26
2013/10,31
2013/11,30
2013/12,23
2014/1,43
2014/2,29
2014/3,26
2014/4,17
2014/5,22
2014/6,24
2014/7,26
2014/8,19
2014/9,29
2014/10,40
2014/11,26
2014/12,37
2015/1,9
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
