date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,2
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,1
2006/12,3
2007/1,1
2007/2,2
2007/3,2
2007/4,2
2007/5,3
2007/6,2
2007/7,4
2007/8,2
2007/9,4
2007/10,3
2007/11,3
2007/12,2
2008/1,4
2008/2,3
2008/3,5
2008/4,3
2008/5,4
2008/6,6
2008/7,5
2008/8,3
2008/9,4
2008/10,3
2008/11,4
2008/12,4
2009/1,9
2009/2,13
2009/3,9
2009/4,7
2009/5,11
2009/6,12
2009/7,14
2009/8,7
2009/9,8
2009/10,7
2009/11,9
2009/12,7
2010/1,14
2010/2,6
2010/3,13
2010/4,16
2010/5,14
2010/6,12
2010/7,19
2010/8,15
2010/9,17
2010/10,19
2010/11,20
2010/12,15
2011/1,18
2011/2,7
2011/3,11
2011/4,12
2011/5,13
2011/6,28
2011/7,25
2011/8,25
2011/9,20
2011/10,9
2011/11,20
2011/12,22
2012/1,18
2012/2,17
2012/3,14
2012/4,14
2012/5,22
2012/6,13
2012/7,15
2012/8,18
2012/9,16
2012/10,17
2012/11,16
2012/12,15
2013/1,16
2013/2,12
2013/3,19
2013/4,28
2013/5,17
2013/6,13
2013/7,28
2013/8,15
2013/9,11
2013/10,16
2013/11,14
2013/12,21
2014/1,23
2014/2,20
2014/3,17
2014/4,15
2014/5,25
2014/6,13
2014/7,18
2014/8,20
2014/9,20
2014/10,28
2014/11,21
2014/12,26
2015/1,6
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
