date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,1
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,1
2005/12,1
2006/1,1
2006/2,1
2006/3,1
2006/4,1
2006/5,1
2006/6,1
2006/7,1
2006/8,1
2006/9,1
2006/10,1
2006/11,2
2006/12,4
2007/1,4
2007/2,1
2007/3,1
2007/4,2
2007/5,4
2007/6,2
2007/7,2
2007/8,5
2007/9,2
2007/10,5
2007/11,2
2007/12,3
2008/1,3
2008/2,3
2008/3,3
2008/4,3
2008/5,3
2008/6,4
2008/7,5
2008/8,3
2008/9,6
2008/10,6
2008/11,4
2008/12,7
2009/1,10
2009/2,5
2009/3,5
2009/4,6
2009/5,5
2009/6,5
2009/7,10
2009/8,10
2009/9,19
2009/10,15
2009/11,19
2009/12,16
2010/1,40
2010/2,21
2010/3,31
2010/4,36
2010/5,31
2010/6,32
2010/7,39
2010/8,40
2010/9,34
2010/10,31
2010/11,27
2010/12,25
2011/1,31
2011/2,29
2011/3,34
2011/4,39
2011/5,30
2011/6,37
2011/7,35
2011/8,32
2011/9,26
2011/10,17
2011/11,32
2011/12,43
2012/1,30
2012/2,30
2012/3,19
2012/4,25
2012/5,15
2012/6,38
2012/7,34
2012/8,16
2012/9,27
2012/10,24
2012/11,23
2012/12,28
2013/1,21
2013/2,28
2013/3,25
2013/4,35
2013/5,64
2013/6,51
2013/7,52
2013/8,55
2013/9,40
2013/10,47
2013/11,49
2013/12,40
2014/1,45
2014/2,38
2014/3,44
2014/4,48
2014/5,50
2014/6,39
2014/7,58
2014/8,42
2014/9,47
2014/10,34
2014/11,22
2014/12,19
2015/1,11
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
