date,review_count
2004/1,1
2004/2,1
2004/3,1
2004/4,1
2004/5,1
2004/6,1
2004/7,1
2004/8,1
2004/9,1
2004/10,1
2004/11,1
2004/12,1
2005/1,1
2005/2,1
2005/3,1
2005/4,1
2005/5,3
2005/6,1
2005/7,1
2005/8,1
2005/9,1
2005/10,1
2005/11,2
2005/12,1
2006/1,2
2006/2,2
2006/3,2
2006/4,3
2006/5,1
2006/6,2
2006/7,1
2006/8,3
2006/9,1
2006/10,3
2006/11,4
2006/12,1
2007/1,6
2007/2,3
2007/3,3
2007/4,6
2007/5,4
2007/6,12
2007/7,2
2007/8,4
2007/9,6
2007/10,10
2007/11,6
2007/12,5
2008/1,9
2008/2,9
2008/3,12
2008/4,10
2008/5,16
2008/6,11
2008/7,19
2008/8,16
2008/9,12
2008/10,9
2008/11,10
2008/12,6
2009/1,17
2009/2,17
2009/3,20
2009/4,18
2009/5,19
2009/6,22
2009/7,27
2009/8,26
2009/9,33
2009/10,20
2009/11,20
2009/12,15
2010/1,26
2010/2,33
2010/3,25
2010/4,25
2010/5,17
2010/6,26
2010/7,25
2010/8,39
2010/9,23
2010/10,29
2010/11,17
2010/12,20
2011/1,27
2011/2,24
2011/3,20
2011/4,24
2011/5,23
2011/6,25
2011/7,19
2011/8,23
2011/9,21
2011/10,16
2011/11,18
2011/12,23
2012/1,13
2012/2,16
2012/3,22
2012/4,25
2012/5,23
2012/6,16
2012/7,21
2012/8,25
2012/9,14
2012/10,29
2012/11,16
2012/12,18
2013/1,17
2013/2,22
2013/3,24
2013/4,23
2013/5,41
2013/6,23
2013/7,36
2013/8,19
2013/9,24
2013/10,19
2013/11,22
2013/12,17
2014/1,36
2014/2,23
2014/3,31
2014/4,28
2014/5,23
2014/6,27
2014/7,34
2014/8,29
2014/9,20
2014/10,22
2014/11,14
2014/12,16
2015/1,7
2015/2,1
2015/3,1
2015/4,1
2015/5,1
2015/6,1
2015/7,1
2015/8,1
2015/9,1
2015/10,1
2015/11,1
2015/12,1
