"Top 100 business_id","Max review_count"
4bEjOyTaDG24SY5TxsaUNQ,4578
2e2e7WgqU1BnpxmQL5jbfw,3984
zt1TpTuJ6y9n551sw9TaEg,3828
sIyHTizqAiGu12XMLX3N3g,3046
Xhg93cMdemu5pAMkDoEdtQ,3007
"YNQgak-ZLtYJQxlDwN-qIg",2949
"tFU2Js_nbIZOrnKfYJYBBg",2593
CZjcFdvJhksq9dy58NVEzw,2583
aGbjLWzcrnEx2ZmMCFm3EA,2537
"xfwRO04KbAPw_zRotCfWQQ",2395
DO3Gk17RyJVW7zYMCtYPnw,2143
"QbmcCE_cLq4WO8ZMKImaLw",2110
eq6lQI039SBLC6sHm3idGA,2105
"lliksv-tglfUz1T3B3vgvA",2063
"xyTJYlbE_MLouK6rCou6zg",1986
PXviRcHR1mqdH4vRc2LEAQ,1930
"BqrTtox0JbG-P_DKBB5bBw",1757
jOuERtVf7QePnK9ZcdH5XA,1645
mDdqifuTrfXAOfxiLMGu5Q,1542
"HbUQ_3dlm3uCacmhTEMnuA",1531
FV16IeXJp2W6pnghTz2FAw,1514
"rBPQuQgTcMtUq5-RYhY2uQ",1424
SsTxjxo8qvqBMvan1rzNzg,1394
8buIr1zBCO7OEcAQSZko7w,1352
DjOxXobyGDwWt89q4z1twg,1323
NsnZ5GhagXBKrCOelxVQxw,1264
tqu42L0qXzkvYKSruOz0IA,1229
"IRYj1b1-mlXqABVsl9SoqQ",1223
"ngNvH4sxnH9aMukTZ67R_Q",1176
SLyacGZuMUKqrQJEooSkjw,1163
"YrIfgzLj0DPStJ1ESAS_Qg",1142
"4UVhuOLaMm2-34SrW8y-ag",1126
zTCCbg7mGslxACL5KlAPIQ,1125
KjymOs12Mpy0Kd54b7T9MA,1124
"5GKbGn9-fAgQ0njSh3OJ8A",1069
"RhbOa-Ft3sZB4B_1j5LfyA",1065
HyfFenprdpIA4rmKu6DW3g,1063
"YacTpiq0ZptFcXD7I-kdGA",1037
LLDGTT7FExklkQvHebEjRg,1023
1yx2zLskVTe5WQdYjL2Apw,1022
eLPld7Q17XxlclFGzZQX5g,1013
AeKTQBtPRDHLAFL9bzbUnA,1000
BqD7X5CHXnJ14YbBBlLx1w,990
Pz7SWZQhxL6ZbhL9jE2NTA,933
vSf0pqvaLp5sVSjJPeOqqQ,929
3fV9sL5LklD9ZSeONKmjkw,908
"H_SuH7uLiYahDMbNBB9kog",902
"gGeVLZ9j_wAYKbaqgnKSJA",892
"ASOiJ8MmbBTgK2D1_MQrqg",888
ryvMJK6AlbU35HKrlFT61w,885
Z0kyK8wCBNGkkUT9UrMWcg,885
"3MmHmJXr8Ltk_Z5EGE4KUw",861
BW1JCE3Qj4uIokg7kLUL7w,851
"ES-j5yNTgmgbL4He0h6otA",846
"cMvN1j-LK64zqmT4vnl8NA",835
szw8OGJlsqaA3i2oe7dn9A,825
"naLrErBuJr9IWd6_rv6-XQ",820
iXA8Y2bzvZo8MjALfZxrIg,818
05fTEsjUPVo5jks8PpNKCQ,811
ZP6qFq7LUh6Tr7WHPoOW6g,805
"Q_Rwcv9APBLggk2KAsBEvg",795
N50HceZf1595UtU867u4uQ,792
xNcqwYAUeVOhe3KNC4Xjaw,791
KJnVuzpveyDrHARVNZaYVg,770
XDYnLQC8ViZejuCDp4eCwg,756
"q_DrPmiLrHEpR_SQvQXELQ",751
KcSJUq1kwO8awZRMS6Q49g,750
LCeF1wK5OqP3PPEVBa5Xfw,746
nZgYNbl1XlZyyKlISMoG6w,744
kwEQ3uY9Jwmknb5kNg3UlA,739
BQjGE1Z3nk253XzIZqt8Gg,738
lPh02W25cOrAz57UbTpbFQ,735
1U1GRksKXF7q8FKcW0e5VQ,732
8zL3V6rmFKBess3bxPLAoQ,729
Zf7fMSe7yuW727JyikdBsg,729
QJlab4DqvBRJPUfg7Vn5ZQ,728
"j_pce4pG9krrBeYwUni8Pg",725
OiCxoAIoBvEWxf7p1qVVmA,720
8Pzdk19tA2bKlKDSgwWqoQ,709
"cN6qpVw6RaSrSI-JGGF4Tw",705
"-2n-OHbbwIv3SY8RP9bgTQ",704
"QRXv7Jvq_SuiiT_SKvbdig",702
"4uGHPY-OpJN08CabtTAvNg",702
OwBPjUz2o0J5K3DzcHkBtg,700
t6SuvEq9PPVGzNv5bJzDtw,696
"tn5SXZvWiT-uVsjXLGSrww",693
ateowLnq6kpgNNWHzCDByQ,672
y6NFyThUU2wtTNa0rX7VrA,668
"ggoYlZeQhATwb_yGSntfdw",655
b25jGkZerj2M4WAy95n1Tg,653
rfDTJLEwZZ2EGOZiTDdqQA,649
dVAurLD1bBIi9IvuMFoL5g,649
"yJDSMugu_Pom3pJE8MRrJA",647
"UEUQS4z7s-DRzQjky92KYw",646
9Bnc9YP0n5cR57xkP6fQmQ,634
"s5-VDvUqyYnD8RG3LPqnbQ",632
"pPfQ73--Y_h5Or0aqDgEGA",630
"J4qLz0nGzCTMf6-kf_SiQg",627
yD1dRYi7USzhYVKiqZ7JVg,623
"25fxw_jOqZtJwl18cCarIA",611
