Date,Sales
01/01/2013,1
01/02/2013,5531
01/03/2013,4328
01/04/2013,4487
01/05/2013,4998
01/06/2013,1
01/07/2013,7177
01/08/2013,5581
01/09/2013,5472
01/10/2013,4893
01/11/2013,4882
01/12/2013,4953
01/13/2013,1
01/14/2013,4718
01/15/2013,3901
01/16/2013,4009
01/17/2013,4045
01/18/2013,4128
01/19/2013,5183
01/20/2013,1
01/21/2013,5395
01/22/2013,5721
01/23/2013,5579
01/24/2013,5196
01/25/2013,5587
01/26/2013,5599
01/27/2013,1
01/28/2013,4056
01/29/2013,3726
01/30/2013,4602
01/31/2013,4710
02/01/2013,5634
02/02/2013,5971
02/03/2013,1
02/04/2013,7033
02/05/2013,6050
02/06/2013,6141
02/07/2013,5500
02/08/2013,5682
02/09/2013,5371
02/10/2013,1
02/11/2013,4410
02/12/2013,4016
02/13/2013,4253
02/14/2013,4242
02/15/2013,4810
02/16/2013,6155
02/17/2013,1
02/18/2013,6408
02/19/2013,5387
02/20/2013,5661
02/21/2013,5262
02/22/2013,5001
02/23/2013,5238
02/24/2013,1
02/25/2013,4039
02/26/2013,3795
02/27/2013,4559
02/28/2013,4677
03/01/2013,4612
03/02/2013,5351
03/03/2013,1
03/04/2013,7676
03/05/2013,6301
03/06/2013,5974
03/07/2013,5638
03/08/2013,5854
03/09/2013,5579
03/10/2013,1
03/11/2013,4950
03/12/2013,3854
03/13/2013,4342
03/14/2013,5109
03/15/2013,4926
03/16/2013,5004
03/17/2013,1
03/18/2013,7073
03/19/2013,6564
03/20/2013,5599
03/21/2013,5180
03/22/2013,5507
03/23/2013,5604
03/24/2013,1
03/25/2013,6730
03/26/2013,6687
03/27/2013,6661
03/28/2013,7286
03/29/2013,1
03/30/2013,7133
03/31/2013,1
04/01/2013,1
04/02/2013,5485
04/03/2013,4626
04/04/2013,4294
04/05/2013,4391
04/06/2013,5076
04/07/2013,1
04/08/2013,6047
04/09/2013,5515
04/10/2013,4904
04/11/2013,4367
04/12/2013,5264
04/13/2013,4774
04/14/2013,1
04/15/2013,3942
04/16/2013,3358
04/17/2013,3650
04/18/2013,2953
04/19/2013,4304
04/20/2013,4351
04/21/2013,1
04/22/2013,5673
04/23/2013,4493
04/24/2013,4310
04/25/2013,3940
04/26/2013,4842
04/27/2013,5727
04/28/2013,1
04/29/2013,5822
04/30/2013,5926
05/01/2013,1
05/02/2013,6487
05/03/2013,6028
05/04/2013,5913
05/05/2013,1
05/06/2013,4569
05/07/2013,4625
05/08/2013,5231
05/09/2013,1
05/10/2013,5410
05/11/2013,5065
05/12/2013,1
05/13/2013,6107
05/14/2013,5084
05/15/2013,4791
05/16/2013,4449
05/17/2013,4857
05/18/2013,4414
05/19/2013,1
05/20/2013,1
05/21/2013,4790
05/22/2013,3560
05/23/2013,4031
05/24/2013,4233
05/25/2013,4409
05/26/2013,1
05/27/2013,5520
05/28/2013,4996
05/29/2013,5785
05/30/2013,1
05/31/2013,7894
06/01/2013,5694
06/02/2013,1
06/03/2013,5423
06/04/2013,5221
06/05/2013,5013
06/06/2013,4882
06/07/2013,4316
06/08/2013,4263
06/09/2013,1
06/10/2013,4292
06/11/2013,3785
06/12/2013,3564
06/13/2013,3662
06/14/2013,4151
06/15/2013,4767
06/16/2013,1
06/17/2013,5338
06/18/2013,4634
06/19/2013,4181
06/20/2013,5012
06/21/2013,5174
06/22/2013,4342
06/23/2013,1
06/24/2013,3550
06/25/2013,4537
