Year,Week_Num,Review_Count
2005,1,1
2005,2,1
2005,3,1
2005,4,1
2005,5,1
2005,6,1
2005,7,1
2005,8,1
2005,9,1
2005,10,1
2005,11,1
2005,12,1
2005,13,1
2005,14,1
2005,15,1
2005,16,1
2005,17,1
2005,18,1
2005,19,1
2005,20,1
2005,21,1
2005,22,1
2005,23,1
2005,24,1
2005,25,1
2005,26,1
2005,27,1
2005,28,1
2005,29,1
2005,30,1
2005,31,1
2005,32,1
2005,33,1
2005,34,1
2005,35,1
2005,36,1
2005,37,1
2005,38,1
2005,39,1
2005,40,1
2005,41,1
2005,42,1
2005,43,1
2005,44,1
2005,45,1
2005,46,1
2005,47,2
2005,48,1
2005,49,2
2005,50,1
2005,51,1
2005,52,1
2006,1,1
2006,2,2
2006,3,1
2006,4,2
2006,5,3
2006,6,1
2006,7,1
2006,8,1
2006,9,1
2006,10,1
2006,11,1
2006,12,1
2006,13,3
2006,14,2
2006,15,2
2006,16,1
2006,17,1
2006,18,2
2006,19,1
2006,20,1
2006,21,2
2006,22,1
2006,23,1
2006,24,1
2006,25,2
2006,26,1
2006,27,2
2006,28,1
2006,29,1
2006,30,4
2006,31,1
2006,32,1
2006,33,4
2006,34,2
2006,35,4
2006,36,2
2006,37,4
2006,38,3
2006,39,3
2006,40,4
2006,41,1
2006,42,2
2006,43,1
2006,44,1
2006,45,2
2006,46,2
2006,47,3
2006,48,1
2006,49,1
2006,50,1
2006,51,1
2006,52,1
2007,1,4
2007,2,1
2007,3,1
2007,4,4
2007,5,2
2007,6,1
2007,7,3
2007,8,4
2007,9,2
2007,10,1
2007,11,1
2007,12,4
2007,13,1
2007,14,1
2007,15,4
2007,16,1
2007,17,2
2007,18,2
2007,19,1
2007,20,2
2007,21,2
2007,22,3
2007,23,3
2007,24,2
2007,25,3
2007,26,1
2007,27,1
2007,28,1
2007,29,3
2007,30,6
2007,31,1
2007,32,3
2007,33,2
2007,34,1
2007,35,1
2007,36,1
2007,37,3
2007,38,2
2007,39,2
2007,40,2
2007,41,5
2007,42,4
2007,43,5
2007,44,2
2007,45,1
2007,46,3
2007,47,1
2007,48,2
2007,49,2
2007,50,1
2007,51,2
2007,52,4
2008,1,9
2008,2,1
2008,3,7
2008,4,3
2008,5,7
2008,6,4
2008,7,4
2008,8,3
2008,9,5
2008,10,5
2008,11,2
2008,12,1
2008,13,3
2008,14,3
2008,15,3
2008,16,1
2008,17,5
2008,18,2
2008,19,6
2008,20,2
2008,21,4
2008,22,5
2008,23,3
2008,24,4
2008,25,4
2008,26,5
2008,27,3
2008,28,5
2008,29,10
2008,30,5
2008,31,4
2008,32,5
2008,33,4
2008,34,5
2008,35,6
2008,36,8
2008,37,5
2008,38,5
2008,39,2
2008,40,3
2008,41,3
2008,42,1
2008,43,3
2008,44,2
2008,45,3
2008,46,3
2008,47,4
2008,48,4
2008,49,3
2008,50,6
2008,51,3
2008,52,4
2009,1,2
2009,2,4
2009,3,5
2009,4,7
2009,5,4
2009,6,3
2009,7,3
2009,8,7
2009,9,5
2009,10,10
2009,11,4
2009,12,6
2009,13,6
2009,14,8
2009,15,5
2009,16,6
2009,17,7
2009,18,5
2009,19,7
2009,20,4
2009,21,6
2009,22,4
2009,23,5
2009,24,2
2009,25,16
2009,26,8
2009,27,13
2009,28,4
2009,29,11
2009,30,10
2009,31,10
2009,32,9
2009,33,6
2009,34,3
2009,35,8
2009,36,5
2009,37,4
2009,38,5
2009,39,5
2009,40,7
2009,41,3
2009,42,6
2009,43,2
2009,44,3
2009,45,12
2009,46,6
2009,47,4
2009,48,8
2009,49,4
2009,50,4
2009,51,7
2009,52,5
2009,53,4
2010,1,10
2010,2,8
2010,3,11
2010,4,6
2010,5,9
2010,6,7
2010,7,8
2010,8,5
2010,9,5
2010,10,13
2010,11,6
2010,12,8
2010,13,9
2010,14,4
2010,15,10
2010,16,3
2010,17,4
2010,18,5
2010,19,5
2010,20,12
2010,21,5
2010,22,8
2010,23,6
2010,24,7
2010,25,4
2010,26,10
2010,27,7
2010,28,6
2010,29,10
2010,30,8
2010,31,7
2010,32,10
2010,33,12
2010,34,10
2010,35,8
2010,36,7
2010,37,6
2010,38,6
2010,39,3
2010,40,7
2010,41,4
2010,42,10
2010,43,7
2010,44,6
2010,45,9
2010,46,9
2010,47,15
2010,48,10
2010,49,6
2010,50,7
2010,51,9
2010,52,9
2011,1,3
2011,2,8
2011,3,13
2011,4,4
2011,5,10
2011,6,11
2011,7,6
2011,8,7
2011,9,12
2011,10,5
2011,11,6
2011,12,12
2011,13,12
2011,14,11
2011,15,7
2011,16,7
2011,17,8
2011,18,10
2011,19,6
2011,20,5
2011,21,11
2011,22,13
2011,23,11
2011,24,10
2011,25,5
2011,26,9
2011,27,9
2011,28,11
2011,29,11
2011,30,10
2011,31,8
2011,32,12
2011,33,8
2011,34,13
2011,35,13
2011,36,8
2011,37,14
2011,38,8
2011,39,8
2011,40,9
2011,41,6
2011,42,7
2011,43,10
2011,44,8
2011,45,11
2011,46,12
2011,47,6
2011,48,8
2011,49,6
2011,50,8
2011,51,9
2011,52,12
2012,1,13
2012,2,9
2012,3,12
2012,4,10
2012,5,3
2012,6,5
2012,7,2
2012,8,10
2012,9,10
2012,10,8
2012,11,8
2012,12,7
2012,13,11
2012,14,7
2012,15,9
2012,16,5
2012,17,9
2012,18,8
2012,19,6
2012,20,9
2012,21,6
2012,22,12
2012,23,8
2012,24,12
2012,25,11
2012,26,9
2012,27,12
2012,28,9
2012,29,7
2012,30,6
2012,31,8
2012,32,4
2012,33,7
2012,34,7
2012,35,13
2012,36,5
2012,37,11
2012,38,10
2012,39,5
2012,40,6
2012,41,5
2012,42,4
2012,43,5
2012,44,5
2012,45,7
2012,46,11
2012,47,7
2012,48,4
2012,49,9
2012,50,5
2012,51,5
2012,52,16
2013,1,1
2013,2,8
2013,3,6
2013,4,4
2013,5,4
2013,6,7
2013,7,3
2013,8,6
2013,9,7
2013,10,2
2013,11,7
2013,12,6
2013,13,5
2013,14,5
2013,15,5
2013,16,10
2013,17,5
2013,18,5
2013,19,9
2013,20,5
2013,21,1
2013,22,6
2013,23,3
2013,24,6
2013,25,9
2013,26,7
2013,27,8
2013,28,12
2013,29,11
2013,30,7
2013,31,3
2013,32,8
2013,33,7
2013,34,7
2013,35,5
2013,36,8
2013,37,7
2013,38,7
2013,39,3
2013,40,5
2013,41,5
2013,42,5
2013,43,4
2013,44,6
2013,45,6
2013,46,9
2013,47,7
2013,48,7
2013,49,5
2013,50,5
2013,51,2
2013,52,10
2014,1,1
2014,2,8
2014,3,5
2014,4,9
2014,5,5
2014,6,4
2014,7,8
2014,8,10
2014,9,12
2014,10,7
2014,11,3
2014,12,7
2014,13,4
2014,14,6
2014,15,8
2014,16,12
2014,17,4
2014,18,9
2014,19,4
2014,20,4
2014,21,2
2014,22,10
2014,23,3
2014,24,5
2014,25,5
2014,26,7
2014,27,11
2014,28,8
2014,29,9
2014,30,11
2014,31,7
2014,32,5
2014,33,6
2014,34,8
2014,35,9
2014,36,10
2014,37,9
2014,38,3
2014,39,7
2014,40,4
2014,41,9
2014,42,7
2014,43,14
2014,44,6
2014,45,5
2014,46,9
2014,47,9
2014,48,6
2014,49,8
2014,50,6
2014,51,6
2014,52,5
2015,1,1
2015,2,5
2015,3,1
2015,4,1
2015,5,1
2015,6,1
2015,7,1
2015,8,1
2015,9,1
2015,10,1
2015,11,1
2015,12,1
2015,13,1
2015,14,1
2015,15,1
2015,16,1
2015,17,1
2015,18,1
2015,19,1
2015,20,1
2015,21,1
2015,22,1
2015,23,1
2015,24,1
2015,25,1
2015,26,1
2015,27,1
2015,28,1
2015,29,1
2015,30,1
2015,31,1
2015,32,1
2015,33,1
2015,34,1
2015,35,1
2015,36,1
2015,37,1
2015,38,1
2015,39,1
2015,40,1
2015,41,1
2015,42,1
2015,43,1
2015,44,1
2015,45,1
2015,46,1
2015,47,1
2015,48,1
2015,49,1
2015,50,1
2015,51,1
2015,52,1
2015,53,1
