"Top 50 business_id","Max review_count"
4bEjOyTaDG24SY5TxsaUNQ,4578
2e2e7WgqU1BnpxmQL5jbfw,3984
zt1TpTuJ6y9n551sw9TaEg,3828
sIyHTizqAiGu12XMLX3N3g,3046
Xhg93cMdemu5pAMkDoEdtQ,3007
"YNQgak-ZLtYJQxlDwN-qIg",2949
"tFU2Js_nbIZOrnKfYJYBBg",2593
CZjcFdvJhksq9dy58NVEzw,2583
aGbjLWzcrnEx2ZmMCFm3EA,2537
AtjsjFzalWqJ7S9DUFQ4bw,2510
"JpHE7yhMS5ehA9e8WG_ETg",2440
"xfwRO04KbAPw_zRotCfWQQ",2395
Es300Ys1XXPYg8aI7BKVYQ,2302
jf67Z1pnwElRSXllpQHiJg,2201
DO3Gk17RyJVW7zYMCtYPnw,2143
"6LM_Klmp3hOP0JmsMCKRqQ",2127
"QbmcCE_cLq4WO8ZMKImaLw",2110
eq6lQI039SBLC6sHm3idGA,2105
"34uJtlPnKicSaX1V8_tu1A",2079
"lliksv-tglfUz1T3B3vgvA",2063
eWPFXL1Bmu1ImtIa2Rqliw,2051
"xyTJYlbE_MLouK6rCou6zg",1986
PXviRcHR1mqdH4vRc2LEAQ,1930
PqTX5j9yfsPbd1qQCA1EwA,1872
"BqrTtox0JbG-P_DKBB5bBw",1757
uJYw4p59AKh8c8h5yWMdOw,1714
"-7yF42k0CcJhtPw51oaOqQ",1710
Ht8mXLuqJSTPrU9kvzosUA,1701
"u9wjRhUjySkHPa_hG3kFOg",1661
jOuERtVf7QePnK9ZcdH5XA,1645
mDdqifuTrfXAOfxiLMGu5Q,1542
NGJDjdiDJHmN2xxU7KauuA,1537
"HbUQ_3dlm3uCacmhTEMnuA",1531
"TWD8c5-P7w9v-2KX_GSNZQ",1530
FV16IeXJp2W6pnghTz2FAw,1514
5paMI5Hhciyl09yGpzdoJw,1507
WIlklz81DcJkUWJThbnJbQ,1469
"_v6HIliEOn0l0YaAmBOrxw",1436
G0nUhYF2q4tnoOPwCjXLig,1428
"rBPQuQgTcMtUq5-RYhY2uQ",1424
"3f-RP2-EE94eifGnepUBpg",1397
SsTxjxo8qvqBMvan1rzNzg,1394
ripCiWZ0MblMZSLrIKQAKA,1368
8buIr1zBCO7OEcAQSZko7w,1352
z3SyT8blMIhsZNvKJgKcRA,1336
DjOxXobyGDwWt89q4z1twg,1323
"mPDE4dMqAyLZNCR-tEYQ5w",1295
bYhpy9u8fKkGhYHtvYXazQ,1282
kEC7OlpPnZRxCUyVwq7hig,1270
NsnZ5GhagXBKrCOelxVQxw,1264
