Date,review_count
2009-01-01,1
2009-01-03,1
2009-01-05,1
2009-01-08,1
2009-01-13,1
2009-01-15,1
2009-01-17,2
2009-01-19,1
2009-01-20,1
2009-01-21,1
2009-01-28,1
2009-01-29,1
2009-01-30,2
2009-02-04,1
2009-02-09,2
2009-02-10,1
2009-02-11,1
2009-02-17,1
2009-02-18,2
2009-02-19,1
2009-02-24,1
2009-02-26,1
2009-03-07,1
2009-03-09,2
2009-03-17,3
2009-03-20,1
2009-03-21,1
2009-03-24,2
2009-03-25,1
2009-03-27,1
2009-03-28,2
2009-03-31,1
2009-04-02,1
2009-04-05,1
2009-04-06,2
2009-04-14,1
2009-04-18,1
2009-04-21,1
2009-04-22,2
2009-04-27,1
2009-05-04,1
2009-05-08,1
2009-05-09,1
2009-05-11,1
2009-05-13,1
2009-05-16,1
2009-05-19,1
2009-05-22,1
2009-05-26,1
2009-06-01,2
2009-06-03,2
2009-06-14,1
2009-06-16,1
2009-06-17,1
2009-06-22,1
2009-06-24,1
2009-06-25,2
2009-06-30,1
2009-07-01,2
2009-07-03,1
2009-07-06,1
2009-07-09,1
2009-07-13,4
2009-07-14,1
2009-07-20,1
2009-07-21,3
2009-07-24,1
2009-07-26,1
2009-07-27,1
2009-07-28,1
2009-07-29,1
2009-07-30,1
2009-07-31,1
2009-08-06,1
2009-08-07,1
2009-08-08,1
2009-08-11,2
2009-08-13,1
2009-08-16,1
2009-08-17,1
2009-08-18,1
2009-08-19,2
2009-08-24,1
2009-08-25,1
2009-08-26,1
2009-08-27,1
2009-09-08,1
2009-09-11,1
2009-09-14,1
2009-09-15,1
2009-09-22,1
2009-09-23,1
2009-09-25,1
2009-09-27,1
2009-09-28,1
2009-09-29,1
2009-10-01,1
2009-10-04,1
2009-10-07,1
2009-10-10,1
2009-10-11,1
2009-10-14,1
2009-10-15,1
2009-10-18,1
2009-10-19,2
2009-10-22,1
2009-10-23,1
2009-10-28,1
2009-11-02,1
2009-11-05,2
2009-11-07,1
2009-11-09,1
2009-11-10,1
2009-11-11,1
2009-11-12,2
2009-11-14,2
2009-11-16,1
2009-11-17,1
2009-11-20,1
2009-11-23,1
2009-11-25,1
2009-11-27,1
2009-11-28,1
2009-11-29,1
2009-12-03,2
2009-12-06,1
2009-12-17,1
2009-12-23,1
2009-12-28,3
2009-12-30,1
2009-12-31,1
2010-01-02,1
2010-01-03,2
2010-01-04,1
2010-01-05,1
2010-01-06,1
2010-01-09,1
2010-01-11,2
2010-01-12,1
2010-01-13,1
2010-01-14,2
2010-01-17,2
2010-01-18,1
2010-01-22,3
2010-01-24,2
2010-01-27,2
2010-01-28,1
2010-02-01,1
2010-02-06,1
2010-02-07,1
2010-02-10,1
2010-02-15,2
2010-02-16,2
2010-02-17,1
2010-02-18,1
2010-02-22,5
2010-02-23,1
2010-02-24,1
2010-02-25,1
2010-03-01,1
2010-03-02,1
2010-03-03,1
2010-03-04,2
2010-03-09,3
2010-03-13,1
2010-03-15,1
2010-03-16,5
2010-03-18,2
2010-03-23,1
2010-03-24,1
2010-03-28,2
