Date,review_count
01-2007,1
02-2007,1
03-2007,1
04-2007,1
05-2007,1
06-2007,1
07-2007,1
08-2007,1
09-2007,1
10-2007,1
11-2007,1
12-2007,3
01-2008,5
02-2008,1
03-2008,8
04-2008,6
05-2008,5
06-2008,2
07-2008,6
08-2008,4
09-2008,2
10-2008,3
11-2008,2
12-2008,3
01-2009,10
02-2009,8
03-2009,7
04-2009,3
05-2009,7
06-2009,5
07-2009,10
08-2009,9
09-2009,11
10-2009,9
11-2009,11
12-2009,8
01-2010,18
02-2010,13
03-2010,25
04-2010,17
05-2010,14
06-2010,40
07-2010,27
08-2010,54
09-2010,45
10-2010,41
11-2010,50
12-2010,45
01-2011,83
02-2011,69
03-2011,65
04-2011,65
05-2011,71
06-2011,85
07-2011,104
08-2011,94
09-2011,88
10-2011,61
11-2011,62
12-2011,69
01-2012,101
02-2012,78
03-2012,52
04-2012,66
05-2012,58
06-2012,82
07-2012,79
08-2012,77
09-2012,60
10-2012,55
11-2012,50
12-2012,51
01-2013,68
02-2013,36
03-2013,50
04-2013,54
05-2013,56
06-2013,69
07-2013,83
08-2013,76
09-2013,45
10-2013,54
11-2013,57
12-2013,51
01-2014,62
02-2014,45
03-2014,47
04-2014,39
05-2014,46
06-2014,63
07-2014,66
08-2014,70
09-2014,46
10-2014,47
11-2014,49
12-2014,40
01-2015,22
02-2015,1
03-2015,1
04-2015,1
05-2015,1
06-2015,1
07-2015,1
08-2015,1
09-2015,1
10-2015,1
11-2015,1
12-2015,1
