Date,review_count
01-2005,1
02-2005,1
03-2005,1
04-2005,1
05-2005,1
06-2005,2
07-2005,1
08-2005,1
09-2005,1
10-2005,3
11-2005,1
12-2005,2
01-2006,3
02-2006,1
03-2006,1
04-2006,2
05-2006,3
06-2006,2
07-2006,2
08-2006,2
09-2006,4
10-2006,3
11-2006,2
12-2006,2
01-2007,3
02-2007,4
03-2007,4
04-2007,6
05-2007,6
06-2007,6
07-2007,10
08-2007,10
09-2007,11
10-2007,7
11-2007,4
12-2007,7
01-2008,13
02-2008,6
03-2008,12
04-2008,2
05-2008,10
06-2008,11
07-2008,12
08-2008,4
09-2008,11
10-2008,7
11-2008,6
12-2008,13
01-2009,16
02-2009,12
03-2009,16
04-2009,11
05-2009,10
06-2009,13
07-2009,22
08-2009,16
09-2009,11
10-2009,14
11-2009,20
12-2009,11
01-2010,25
02-2010,19
03-2010,26
04-2010,29
05-2010,20
06-2010,24
07-2010,37
08-2010,38
09-2010,31
10-2010,20
11-2010,44
12-2010,39
01-2011,52
02-2011,34
03-2011,56
04-2011,45
05-2011,57
06-2011,59
07-2011,74
08-2011,65
09-2011,50
10-2011,49
11-2011,48
12-2011,61
01-2012,62
02-2012,45
03-2012,65
04-2012,54
05-2012,63
06-2012,59
07-2012,72
08-2012,73
09-2012,48
10-2012,50
11-2012,67
12-2012,63
01-2013,68
02-2013,75
03-2013,71
04-2013,68
05-2013,87
06-2013,113
07-2013,74
08-2013,108
09-2013,96
10-2013,84
11-2013,93
12-2013,86
01-2014,120
02-2014,78
03-2014,114
04-2014,81
05-2014,98
06-2014,89
07-2014,100
08-2014,96
09-2014,96
10-2014,71
11-2014,62
12-2014,79
01-2015,28
02-2015,1
03-2015,1
04-2015,1
05-2015,1
06-2015,1
07-2015,1
08-2015,1
09-2015,1
10-2015,1
11-2015,1
12-2015,1
