Date,review_count
2005-01-03,1
2005-01-10,1
2005-01-17,1
2005-01-24,1
2005-01-31,1
2005-02-07,1
2005-02-14,1
2005-02-21,1
2005-02-28,1
2005-03-07,1
2005-03-14,1
2005-03-21,1
2005-03-28,1
2005-04-04,1
2005-04-11,1
2005-04-18,1
2005-04-25,1
2005-05-02,1
2005-05-09,1
2005-05-16,1
2005-05-23,1
2005-05-30,1
2005-06-06,1
2005-06-13,1
2005-06-20,2
2005-06-27,1
2005-07-04,1
2005-07-11,1
2005-07-18,1
2005-07-25,1
2005-08-01,1
2005-08-08,1
2005-08-15,1
2005-08-22,1
2005-08-29,1
2005-09-05,1
2005-09-12,1
2005-09-19,1
2005-09-26,1
2005-10-03,1
2005-10-10,3
2005-10-17,1
2005-10-24,1
2005-10-31,1
2005-11-07,1
2005-11-14,1
2005-11-21,1
2005-11-28,2
2005-12-05,1
2005-12-12,1
2005-12-19,1
2005-12-26,1
2006-01-02,1
2006-01-09,1
2006-01-16,1
2006-01-23,1
2006-01-30,2
2006-02-06,1
2006-02-13,1
2006-02-20,1
2006-02-27,1
2006-03-06,1
2006-03-13,1
2006-03-20,1
2006-03-27,1
2006-04-03,1
2006-04-10,1
2006-04-17,2
2006-04-24,1
2006-05-01,1
2006-05-08,1
2006-05-15,3
2006-05-22,1
2006-05-29,1
2006-06-05,1
2006-06-12,1
2006-06-19,2
2006-06-26,1
2006-07-03,1
2006-07-10,1
2006-07-17,1
2006-07-24,2
2006-07-31,1
2006-08-07,2
2006-08-14,1
2006-08-21,1
2006-08-28,1
2006-09-04,1
2006-09-11,3
2006-09-18,2
2006-09-25,2
2006-10-02,1
2006-10-09,1
2006-10-16,1
2006-10-23,2
2006-10-30,2
2006-11-06,1
2006-11-13,1
2006-11-20,1
2006-11-27,1
2006-12-04,1
2006-12-11,1
2006-12-18,2
2006-12-25,1
2007-01-01,2
2007-01-08,1
2007-01-15,2
2007-01-22,1
2007-01-29,3
2007-02-05,1
2007-02-12,2
2007-02-19,1
2007-02-26,2
2007-03-05,2
2007-03-12,3
2007-03-19,1
2007-03-26,1
2007-04-02,2
2007-04-09,3
2007-04-16,1
2007-04-23,3
2007-04-30,1
2007-05-07,4
2007-05-14,1
2007-05-21,2
2007-05-28,3
2007-06-04,2
2007-06-11,3
2007-06-18,2
2007-06-25,1
2007-07-02,2
2007-07-09,2
2007-07-16,4
2007-07-23,5
2007-07-30,1
2007-08-06,2
2007-08-13,2
2007-08-20,3
2007-08-27,6
2007-09-03,7
2007-09-10,1
2007-09-17,3
2007-09-24,3
2007-10-01,2
2007-10-08,3
2007-10-15,2
2007-10-22,2
2007-10-29,2
2007-11-05,2
2007-11-12,1
2007-11-19,2
2007-11-26,2
2007-12-03,3
2007-12-10,2
2007-12-17,1
2007-12-24,3
2007-12-31,5
2008-01-07,6
2008-01-14,6
2008-01-21,1
2008-01-28,3
2008-02-04,2
2008-02-11,1
2008-02-18,1
2008-02-25,3
2008-03-03,4
2008-03-10,3
2008-03-17,4
2008-03-24,2
2008-03-31,3
2008-04-07,1
2008-04-14,1
2008-04-21,2
2008-04-28,2
2008-05-05,3
2008-05-12,5
2008-05-19,2
2008-05-26,3
2008-06-02,3
2008-06-09,3
2008-06-16,6
2008-06-23,1
2008-06-30,3
2008-07-07,3
2008-07-14,5
2008-07-21,4
2008-07-28,1
