Date,review_count
2010-01-04,1
2010-01-11,1
2010-01-18,1
2010-01-25,1
2010-02-01,1
2010-02-08,1
2010-02-15,1
2010-02-22,1
2010-03-01,1
2010-03-08,1
2010-03-15,1
2010-03-22,1
2010-03-29,1
2010-04-05,1
2010-04-12,1
2010-04-19,1
2010-04-26,1
2010-05-03,1
2010-05-10,1
2010-05-17,1
2010-05-24,1
2010-05-31,1
2010-06-07,1
2010-06-14,1
2010-06-21,1
2010-06-28,1
2010-07-05,1
2010-07-12,1
2010-07-19,1
2010-07-26,1
2010-08-02,1
2010-08-09,1
2010-08-16,1
2010-08-23,1
2010-08-30,1
2010-09-06,1
2010-09-13,1
2010-09-20,1
2010-09-27,1
2010-10-04,1
2010-10-11,1
2010-10-18,1
2010-10-25,1
2010-11-01,1
2010-11-08,1
2010-11-15,2
2010-11-22,1
2010-11-29,1
2010-12-06,2
2010-12-13,15
2010-12-20,20
2010-12-27,9
2011-01-03,1
2011-01-10,15
2011-01-17,23
2011-01-24,17
2011-01-31,15
2011-02-07,13
2011-02-14,20
2011-02-21,17
2011-02-28,20
2011-03-07,15
2011-03-14,13
2011-03-21,15
2011-03-28,17
2011-04-04,13
2011-04-11,13
2011-04-18,9
2011-04-25,12
2011-05-02,14
2011-05-09,19
2011-05-16,5
2011-05-23,11
2011-05-30,12
2011-06-06,9
2011-06-13,15
2011-06-20,15
2011-06-27,13
2011-07-04,17
2011-07-11,17
2011-07-18,17
2011-07-25,14
2011-08-01,17
2011-08-08,15
2011-08-15,12
2011-08-22,12
2011-08-29,13
2011-09-05,15
2011-09-12,15
2011-09-19,16
2011-09-26,9
2011-10-03,11
2011-10-10,10
2011-10-17,8
2011-10-24,16
2011-10-31,10
2011-11-07,12
2011-11-14,17
2011-11-21,9
2011-11-28,12
2011-12-05,15
2011-12-12,21
2011-12-19,10
2011-12-26,18
2012-01-02,13
2012-01-09,16
2012-01-16,10
2012-01-23,14
2012-01-30,13
2012-02-06,7
2012-02-13,14
2012-02-20,14
2012-02-27,13
2012-03-05,8
2012-03-12,16
2012-03-19,10
2012-03-26,15
2012-04-02,12
2012-04-09,11
2012-04-16,13
2012-04-23,14
2012-04-30,7
2012-05-07,7
2012-05-14,11
2012-05-21,11
2012-05-28,19
2012-06-04,15
2012-06-11,16
2012-06-18,8
2012-06-25,14
2012-07-02,17
2012-07-09,12
2012-07-16,14
2012-07-23,11
2012-07-30,11
2012-08-06,12
2012-08-13,14
2012-08-20,13
2012-08-27,13
2012-09-03,15
2012-09-10,10
2012-09-17,12
2012-09-24,5
2012-10-01,8
2012-10-08,9
2012-10-15,8
2012-10-22,5
2012-10-29,5
2012-11-05,6
2012-11-12,6
2012-11-19,10
2012-11-26,6
2012-12-03,6
2012-12-10,6
2012-12-17,4
2012-12-24,9
2012-12-31,1
2013-01-07,11
2013-01-14,8
2013-01-21,15
2013-01-28,9
2013-02-04,12
2013-02-11,10
2013-02-18,14
2013-02-25,7
2013-03-04,8
2013-03-11,8
2013-03-18,7
2013-03-25,13
2013-04-01,9
2013-04-08,9
2013-04-15,6
2013-04-22,7
2013-04-29,7
2013-05-06,9
2013-05-13,17
2013-05-20,10
2013-05-27,11
2013-06-03,13
2013-06-10,5
2013-06-17,8
2013-06-24,14
2013-07-01,10
2013-07-08,8
2013-07-15,13
2013-07-22,15
2013-07-29,13
2013-08-05,13
2013-08-12,12
2013-08-19,14
2013-08-26,10
2013-09-02,10
2013-09-09,13
2013-09-16,8
2013-09-23,8
2013-09-30,10
2013-10-07,10
2013-10-14,10
2013-10-21,11
2013-10-28,10
2013-11-04,13
2013-11-11,15
2013-11-18,7
2013-11-25,13
2013-12-02,11
2013-12-09,11
2013-12-16,8
2013-12-23,17
2013-12-30,1
2014-01-06,14
2014-01-13,12
2014-01-20,14
2014-01-27,10
2014-02-03,10
2014-02-10,10
2014-02-17,7
2014-02-24,19
2014-03-03,12
2014-03-10,10
2014-03-17,9
2014-03-24,7
2014-03-31,7
2014-04-07,14
2014-04-14,7
2014-04-21,16
2014-04-28,10
2014-05-05,7
2014-05-12,12
2014-05-19,3
2014-05-26,10
2014-06-02,9
2014-06-09,9
2014-06-16,8
2014-06-23,12
2014-06-30,14
2014-07-07,16
2014-07-14,11
2014-07-21,10
2014-07-28,10
2014-08-04,9
2014-08-11,13
2014-08-18,13
2014-08-25,11
2014-09-01,14
2014-09-08,13
2014-09-15,8
2014-09-22,9
2014-09-29,7
2014-10-06,7
2014-10-13,12
2014-10-20,8
2014-10-27,7
2014-11-03,9
2014-11-10,6
2014-11-17,8
2014-11-24,8
2014-12-01,10
2014-12-08,10
2014-12-15,7
2014-12-22,9
2014-12-29,1
2015-01-05,8
2015-01-12,1
2015-01-19,1
2015-01-26,1
2015-02-02,1
2015-02-09,1
2015-02-16,1
2015-02-23,1
2015-03-02,1
2015-03-09,1
2015-03-16,1
2015-03-23,1
2015-03-30,1
2015-04-06,1
2015-04-13,1
2015-04-20,1
2015-04-27,1
2015-05-04,1
2015-05-11,1
2015-05-18,1
2015-05-25,1
2015-06-01,1
2015-06-08,1
2015-06-15,1
2015-06-22,1
2015-06-29,1
2015-07-06,1
2015-07-13,1
2015-07-20,1
2015-07-27,1
2015-08-03,1
2015-08-10,1
2015-08-17,1
2015-08-24,1
2015-08-31,1
2015-09-07,1
2015-09-14,1
2015-09-21,1
2015-09-28,1
2015-10-05,1
2015-10-12,1
2015-10-19,1
2015-10-26,1
2015-11-02,1
2015-11-09,1
2015-11-16,1
2015-11-23,1
2015-11-30,1
2015-12-07,1
2015-12-14,1
2015-12-21,1
2015-12-28,1
