Date,review_count
01-2009,1
02-2009,1
03-2009,1
04-2009,1
05-2009,1
06-2009,1
07-2009,1
08-2009,1
09-2009,1
10-2009,2
11-2009,2
12-2009,1
01-2010,3
02-2010,4
03-2010,3
04-2010,3
05-2010,1
06-2010,5
07-2010,2
08-2010,5
09-2010,4
10-2010,6
11-2010,7
12-2010,8
01-2011,6
02-2011,4
03-2011,6
04-2011,6
05-2011,4
06-2011,12
07-2011,16
08-2011,7
09-2011,16
10-2011,4
11-2011,6
12-2011,4
01-2012,11
02-2012,14
03-2012,12
04-2012,6
05-2012,4
06-2012,14
07-2012,16
08-2012,13
09-2012,8
10-2012,8
11-2012,11
12-2012,3
01-2013,5
02-2013,6
03-2013,8
04-2013,10
05-2013,11
06-2013,12
07-2013,12
08-2013,14
09-2013,7
10-2013,5
11-2013,14
12-2013,10
01-2014,8
02-2014,13
03-2014,18
04-2014,11
05-2014,5
06-2014,7
07-2014,8
08-2014,7
09-2014,8
10-2014,7
11-2014,12
12-2014,3
01-2015,7
02-2015,1
03-2015,1
04-2015,1
05-2015,1
06-2015,1
07-2015,1
08-2015,1
09-2015,1
10-2015,1
11-2015,1
12-2015,1
