Date,review_count
2009-04-06,3
2009-04-13,8
2009-04-20,3
2009-04-27,3
2009-05-04,9
2009-05-11,4
2009-05-18,3
2009-05-25,3
2009-06-01,5
2009-06-08,6
2009-06-15,7
2009-06-22,2
2009-06-29,3
2009-07-06,6
2009-07-13,7
2009-07-20,7
2009-07-27,10
2009-08-03,10
2009-08-10,5
2009-08-17,7
2009-08-24,4
2009-08-31,7
2009-09-07,4
2009-09-14,7
2009-09-21,8
2009-09-28,3
2009-10-05,6
2009-10-12,5
2009-10-19,4
2009-10-26,3
2009-11-02,3
2009-11-09,6
2009-11-16,3
2009-11-23,4
2009-11-30,2
2009-12-07,4
2009-12-14,1
2009-12-21,1
2009-12-28,10
2010-01-04,6
2010-01-11,9
2010-01-18,13
2010-01-25,6
2010-02-01,7
2010-02-08,3
2010-02-15,6
2010-02-22,5
2010-03-01,6
2010-03-08,3
2010-03-15,9
2010-03-22,6
2010-03-29,5
2010-04-05,6
2010-04-12,5
2010-04-19,10
2010-04-26,6
2010-05-03,9
2010-05-10,6
2010-05-17,4
2010-05-24,5
2010-05-31,8
2010-06-07,9
2010-06-14,10
2010-06-21,5
2010-06-28,4
2010-07-05,12
2010-07-12,8
2010-07-19,9
2010-07-26,7
2010-08-02,11
2010-08-09,8
2010-08-16,10
2010-08-23,8
2010-08-30,5
2010-09-06,16
2010-09-13,19
2010-09-20,8
2010-09-27,3
2010-10-04,6
2010-10-11,9
2010-10-18,14
2010-10-25,2
2010-11-01,8
2010-11-08,4
2010-11-15,10
2010-11-22,9
2010-11-29,7
2010-12-06,4
2010-12-13,11
2010-12-20,9
2010-12-27,7
2011-01-03,7
2011-01-10,12
2011-01-17,15
2011-01-24,8
2011-01-31,11
2011-02-07,8
2011-02-14,16
2011-02-21,8
2011-02-28,11
2011-03-07,6
2011-03-14,7
2011-03-21,10
2011-03-28,13
2011-04-04,8
2011-04-11,15
2011-04-18,9
2011-04-25,7
2011-05-02,4
2011-05-09,6
2011-05-16,8
2011-05-23,14
2011-05-30,12
2011-06-06,13
2011-06-13,8
2011-06-20,15
2011-06-27,21
2011-07-04,15
2011-07-11,8
2011-07-18,10
2011-07-25,10
2011-08-01,10
2011-08-08,16
2011-08-15,14
2011-08-22,18
2011-08-29,13
2011-09-05,12
2011-09-12,13
2011-09-19,13
2011-09-26,12
2011-10-03,9
2011-10-10,13
2011-10-17,9
2011-10-24,9
2011-10-31,9
2011-11-07,12
2011-11-14,6
2011-11-21,7
2011-11-28,8
2011-12-05,10
2011-12-12,10
2011-12-19,8
2011-12-26,9
2012-01-02,11
2012-01-09,9
2012-01-16,11
2012-01-23,17
2012-01-30,9
2012-02-06,9
2012-02-13,8
2012-02-20,5
2012-02-27,7
2012-03-05,7
2012-03-12,9
2012-03-19,7
2012-03-26,6
2012-04-02,10
2012-04-09,7
2012-04-16,5
2012-04-23,7
2012-04-30,5
2012-05-07,5
2012-05-14,7
2012-05-21,4
2012-05-28,4
2012-06-04,7
2012-06-11,5
2012-06-18,9
2012-06-25,9
2012-07-02,16
2012-07-09,5
2012-07-16,8
2012-07-23,11
2012-07-30,6
2012-08-06,15
2012-08-13,11
2012-08-20,12
2012-08-27,9
2012-09-03,10
2012-09-10,6
2012-09-17,5
2012-09-24,7
2012-10-01,11
2012-10-08,10
2012-10-15,8
2012-10-22,6
2012-10-29,4
2012-11-05,9
2012-11-12,7
2012-11-19,9
2012-11-26,1
2012-12-03,7
2012-12-10,7
2012-12-17,7
2012-12-24,12
2012-12-31,13
2013-01-07,8
2013-01-14,8
2013-01-21,11
2013-01-28,10
2013-02-04,6
2013-02-11,8
2013-02-18,5
2013-02-25,10
2013-03-04,4
2013-03-11,7
2013-03-18,9
2013-03-25,3
2013-04-01,18
2013-04-08,7
2013-04-15,9
2013-04-22,10
2013-04-29,11
2013-05-06,10
2013-05-13,6
2013-05-20,10
2013-05-27,7
2013-06-03,9
2013-06-10,19
2013-06-17,7
2013-06-24,16
2013-07-01,7
2013-07-08,12
2013-07-15,15
2013-07-22,14
2013-07-29,9
2013-08-05,13
2013-08-12,10
2013-08-19,12
2013-08-26,7
2013-09-02,11
2013-09-09,11
2013-09-16,7
2013-09-23,11
2013-09-30,7
2013-10-07,14
2013-10-14,9
2013-10-21,7
2013-10-28,4
2013-11-04,10
2013-11-11,7
2013-11-18,9
2013-11-25,7
2013-12-02,9
2013-12-09,10
2013-12-16,4
2013-12-23,14
2013-12-30,12
2014-01-06,14
2014-01-13,3
2014-01-20,10
2014-01-27,7
2014-02-03,12
2014-02-10,12
2014-02-17,19
2014-02-24,12
2014-03-03,9
2014-03-10,11
2014-03-17,13
2014-03-24,5
2014-03-31,13
2014-04-07,5
2014-04-14,9
2014-04-21,9
2014-04-28,12
2014-05-05,11
2014-05-12,13
2014-05-19,18
2014-05-26,6
2014-06-02,14
2014-06-09,8
2014-06-16,6
2014-06-23,16
2014-06-30,14
2014-07-07,15
2014-07-14,18
2014-07-21,21
2014-07-28,14
2014-08-04,18
2014-08-11,9
2014-08-18,22
2014-08-25,12
2014-09-01,15
2014-09-08,10
2014-09-15,10
2014-09-22,9
2014-09-29,10
2014-10-06,11
2014-10-13,12
2014-10-20,12
2014-10-27,14
2014-11-03,10
2014-11-10,9
2014-11-17,7
2014-11-24,10
2014-12-01,5
2014-12-08,4
2014-12-15,6
2014-12-22,16
2014-12-29,20
2015-01-05,8
