Date,review_count
2008-12-29,1
2009-01-05,1
2009-01-12,1
2009-01-19,1
2009-01-26,1
2009-02-02,1
2009-02-09,1
2009-02-16,1
2009-02-23,1
2009-03-02,1
2009-03-09,1
2009-03-16,1
2009-03-23,1
2009-03-30,1
2009-04-06,4
2009-04-13,9
2009-04-20,4
2009-04-27,4
2009-05-04,10
2009-05-11,5
2009-05-18,4
2009-05-25,4
2009-06-01,6
2009-06-08,7
2009-06-15,8
2009-06-22,3
2009-06-29,4
2009-07-06,7
2009-07-13,8
2009-07-20,8
2009-07-27,11
2009-08-03,11
2009-08-10,6
2009-08-17,8
2009-08-24,5
2009-08-31,8
2009-09-07,5
2009-09-14,8
2009-09-21,9
2009-09-28,4
2009-10-05,7
2009-10-12,6
2009-10-19,5
2009-10-26,4
2009-11-02,4
2009-11-09,7
2009-11-16,4
2009-11-23,5
2009-11-30,3
2009-12-07,5
2009-12-14,2
2009-12-21,2
2009-12-28,3
2010-01-04,7
2010-01-11,10
2010-01-18,14
2010-01-25,7
2010-02-01,8
2010-02-08,4
2010-02-15,7
2010-02-22,6
2010-03-01,7
2010-03-08,4
2010-03-15,10
2010-03-22,7
2010-03-29,6
2010-04-05,7
2010-04-12,6
2010-04-19,11
2010-04-26,7
2010-05-03,10
2010-05-10,7
2010-05-17,5
2010-05-24,6
2010-05-31,9
2010-06-07,10
2010-06-14,11
2010-06-21,6
2010-06-28,5
2010-07-05,13
2010-07-12,9
2010-07-19,10
2010-07-26,8
2010-08-02,12
2010-08-09,9
2010-08-16,11
2010-08-23,9
2010-08-30,6
2010-09-06,17
2010-09-13,20
2010-09-20,9
2010-09-27,4
2010-10-04,7
2010-10-11,10
2010-10-18,15
2010-10-25,3
2010-11-01,9
2010-11-08,5
2010-11-15,11
2010-11-22,10
2010-11-29,8
2010-12-06,5
2010-12-13,12
2010-12-20,10
2010-12-27,6
2011-01-03,9
2011-01-10,13
2011-01-17,16
2011-01-24,9
2011-01-31,12
2011-02-07,9
2011-02-14,17
2011-02-21,9
2011-02-28,12
2011-03-07,7
2011-03-14,8
2011-03-21,11
2011-03-28,14
2011-04-04,9
2011-04-11,16
2011-04-18,10
2011-04-25,8
2011-05-02,5
2011-05-09,7
2011-05-16,9
2011-05-23,15
2011-05-30,13
2011-06-06,14
2011-06-13,9
2011-06-20,16
2011-06-27,22
2011-07-04,16
2011-07-11,9
2011-07-18,11
2011-07-25,11
2011-08-01,11
2011-08-08,17
2011-08-15,15
2011-08-22,19
2011-08-29,14
2011-09-05,13
2011-09-12,14
2011-09-19,14
2011-09-26,13
2011-10-03,10
2011-10-10,14
2011-10-17,10
2011-10-24,10
2011-10-31,10
2011-11-07,13
2011-11-14,7
2011-11-21,8
2011-11-28,9
2011-12-05,11
2011-12-12,11
2011-12-19,9
2011-12-26,12
2012-01-02,16
2012-01-09,10
2012-01-16,12
2012-01-23,18
2012-01-30,10
2012-02-06,10
2012-02-13,9
2012-02-20,6
2012-02-27,8
2012-03-05,8
2012-03-12,10
2012-03-19,8
2012-03-26,7
2012-04-02,11
2012-04-09,8
2012-04-16,6
2012-04-23,8
2012-04-30,6
2012-05-07,6
2012-05-14,8
2012-05-21,5
2012-05-28,5
2012-06-04,8
2012-06-11,6
2012-06-18,10
2012-06-25,10
2012-07-02,17
2012-07-09,6
2012-07-16,9
2012-07-23,12
2012-07-30,7
2012-08-06,16
2012-08-13,12
2012-08-20,13
2012-08-27,10
2012-09-03,11
2012-09-10,7
2012-09-17,6
2012-09-24,8
2012-10-01,12
2012-10-08,11
2012-10-15,9
2012-10-22,7
2012-10-29,5
2012-11-05,10
2012-11-12,8
2012-11-19,10
2012-11-26,2
2012-12-03,8
2012-12-10,8
2012-12-17,8
2012-12-24,13
2012-12-31,1
2013-01-07,9
2013-01-14,9
2013-01-21,12
2013-01-28,11
2013-02-04,7
2013-02-11,9
2013-02-18,6
2013-02-25,11
2013-03-04,5
2013-03-11,8
2013-03-18,10
2013-03-25,4
2013-04-01,19
2013-04-08,8
2013-04-15,10
2013-04-22,11
2013-04-29,12
2013-05-06,11
2013-05-13,7
2013-05-20,11
2013-05-27,8
2013-06-03,10
2013-06-10,20
2013-06-17,8
2013-06-24,17
2013-07-01,8
2013-07-08,13
2013-07-15,16
2013-07-22,15
2013-07-29,10
2013-08-05,14
2013-08-12,11
2013-08-19,13
2013-08-26,8
2013-09-02,12
2013-09-09,12
2013-09-16,8
2013-09-23,12
2013-09-30,8
2013-10-07,15
2013-10-14,10
2013-10-21,8
2013-10-28,5
2013-11-04,11
2013-11-11,8
2013-11-18,10
2013-11-25,8
2013-12-02,10
2013-12-09,11
2013-12-16,5
2013-12-23,15
2013-12-30,1
2014-01-06,15
2014-01-13,4
2014-01-20,11
2014-01-27,8
2014-02-03,13
2014-02-10,13
2014-02-17,20
2014-02-24,13
2014-03-03,10
2014-03-10,12
2014-03-17,14
2014-03-24,6
2014-03-31,14
2014-04-07,6
2014-04-14,10
2014-04-21,10
2014-04-28,13
2014-05-05,12
2014-05-12,14
2014-05-19,19
2014-05-26,7
2014-06-02,15
2014-06-09,9
2014-06-16,7
2014-06-23,17
2014-06-30,15
2014-07-07,16
2014-07-14,19
2014-07-21,22
2014-07-28,15
2014-08-04,19
2014-08-11,10
2014-08-18,23
2014-08-25,13
2014-09-01,16
2014-09-08,11
2014-09-15,11
2014-09-22,10
2014-09-29,11
2014-10-06,12
2014-10-13,13
2014-10-20,13
2014-10-27,15
2014-11-03,11
2014-11-10,10
2014-11-17,8
2014-11-24,11
2014-12-01,6
2014-12-08,5
2014-12-15,7
2014-12-22,17
2014-12-29,1
2015-01-05,9
2015-01-12,1
2015-01-19,1
2015-01-26,1
2015-02-02,1
2015-02-09,1
2015-02-16,1
2015-02-23,1
2015-03-02,1
2015-03-09,1
2015-03-16,1
2015-03-23,1
2015-03-30,1
2015-04-06,1
2015-04-13,1
2015-04-20,1
2015-04-27,1
2015-05-04,1
2015-05-11,1
2015-05-18,1
2015-05-25,1
2015-06-01,1
2015-06-08,1
2015-06-15,1
2015-06-22,1
2015-06-29,1
2015-07-06,1
2015-07-13,1
2015-07-20,1
2015-07-27,1
2015-08-03,1
2015-08-10,1
2015-08-17,1
2015-08-24,1
2015-08-31,1
2015-09-07,1
2015-09-14,1
2015-09-21,1
2015-09-28,1
2015-10-05,1
2015-10-12,1
2015-10-19,1
2015-10-26,1
2015-11-02,1
2015-11-09,1
2015-11-16,1
2015-11-23,1
2015-11-30,1
2015-12-07,1
2015-12-14,1
2015-12-21,1
2015-12-28,1
