Date,review_count
2006-01-02,1
2006-01-09,1
2006-01-16,1
2006-01-23,1
2006-01-30,1
2006-02-06,1
2006-02-13,1
2006-02-20,1
2006-02-27,1
2006-03-06,1
2006-03-13,1
2006-03-20,1
2006-03-27,1
2006-04-03,1
2006-04-10,2
2006-04-17,1
2006-04-24,1
2006-05-01,2
2006-05-08,1
2006-05-15,2
2006-05-22,1
2006-05-29,3
2006-06-05,1
2006-06-12,1
2006-06-19,1
2006-06-26,3
2006-07-03,3
2006-07-10,1
2006-07-17,1
2006-07-24,2
2006-07-31,2
2006-08-07,1
2006-08-14,2
2006-08-21,1
2006-08-28,2
2006-09-04,2
2006-09-11,4
2006-09-18,1
2006-09-25,1
2006-10-02,2
2006-10-09,1
2006-10-16,1
2006-10-23,2
2006-10-30,1
2006-11-06,1
2006-11-13,1
2006-11-20,1
2006-11-27,1
2006-12-04,1
2006-12-11,2
2006-12-18,2
2006-12-25,1
2007-01-01,3
2007-01-08,2
2007-01-15,2
2007-01-22,3
2007-01-29,1
2007-02-05,1
2007-02-12,1
2007-02-19,2
2007-02-26,2
2007-03-05,1
2007-03-12,2
2007-03-19,1
2007-03-26,1
2007-04-02,1
2007-04-09,3
2007-04-16,2
2007-04-23,2
2007-04-30,1
2007-05-07,2
2007-05-14,2
2007-05-21,2
2007-05-28,4
2007-06-04,2
2007-06-11,3
2007-06-18,2
2007-06-25,2
2007-07-02,4
2007-07-09,3
2007-07-16,4
2007-07-23,2
2007-07-30,2
2007-08-06,5
2007-08-13,3
2007-08-20,2
2007-08-27,4
2007-09-03,1
2007-09-10,2
2007-09-17,5
2007-09-24,4
2007-10-01,2
2007-10-08,3
2007-10-15,1
2007-10-22,8
2007-10-29,2
2007-11-05,1
2007-11-12,2
2007-11-19,5
2007-11-26,3
2007-12-03,4
2007-12-10,2
2007-12-17,3
2007-12-24,3
2007-12-31,7
2008-01-07,2
2008-01-14,9
2008-01-21,1
2008-01-28,4
2008-02-04,4
2008-02-11,2
2008-02-18,3
2008-02-25,7
2008-03-03,5
2008-03-10,5
2008-03-17,8
2008-03-24,5
2008-03-31,9
2008-04-07,9
2008-04-14,3
2008-04-21,2
2008-04-28,2
2008-05-05,5
2008-05-12,7
2008-05-19,4
2008-05-26,4
2008-06-02,7
2008-06-09,5
2008-06-16,9
2008-06-23,7
2008-06-30,7
2008-07-07,3
2008-07-14,7
2008-07-21,4
2008-07-28,5
2008-08-04,5
2008-08-11,7
2008-08-18,8
2008-08-25,10
2008-09-01,5
2008-09-08,8
2008-09-15,4
2008-09-22,2
2008-09-29,3
2008-10-06,10
2008-10-13,1
2008-10-20,5
2008-10-27,4
2008-11-03,7
2008-11-10,6
2008-11-17,6
2008-11-24,4
2008-12-01,6
2008-12-08,5
2008-12-15,3
2008-12-22,10
2008-12-29,3
2009-01-05,18
2009-01-12,10
2009-01-19,10
2009-01-26,6
2009-02-02,5
2009-02-09,7
2009-02-16,3
2009-02-23,10
2009-03-02,10
2009-03-09,10
2009-03-16,3
2009-03-23,8
2009-03-30,7
2009-04-06,10
2009-04-13,9
2009-04-20,7
2009-04-27,10
2009-05-04,4
2009-05-11,2
2009-05-18,10
2009-05-25,8
2009-06-01,6
2009-06-08,5
