Date,review_count
01-2005,1
02-2005,1
03-2005,1
04-2005,1
05-2005,1
06-2005,1
07-2005,1
08-2005,1
09-2005,2
10-2005,1
11-2005,1
12-2005,1
01-2006,3
02-2006,1
03-2006,1
04-2006,1
05-2006,1
06-2006,1
07-2006,2
08-2006,2
09-2006,2
10-2006,1
11-2006,1
12-2006,1
01-2007,1
02-2007,2
03-2007,1
04-2007,1
05-2007,2
06-2007,2
07-2007,1
08-2007,2
09-2007,3
10-2007,1
11-2007,3
12-2007,2
01-2008,1
02-2008,1
03-2008,5
04-2008,1
05-2008,7
06-2008,1
07-2008,3
08-2008,2
09-2008,2
10-2008,4
11-2008,3
12-2008,8
01-2009,4
02-2009,5
03-2009,3
04-2009,3
05-2009,3
06-2009,3
07-2009,5
08-2009,5
09-2009,6
10-2009,3
11-2009,1
12-2009,6
01-2010,8
02-2010,6
03-2010,5
04-2010,5
05-2010,6
06-2010,5
07-2010,8
08-2010,8
09-2010,10
10-2010,9
11-2010,7
12-2010,15
01-2011,13
02-2011,8
03-2011,14
04-2011,13
05-2011,5
06-2011,4
07-2011,12
08-2011,7
09-2011,8
10-2011,7
11-2011,9
12-2011,5
01-2012,9
02-2012,8
03-2012,6
04-2012,5
05-2012,12
06-2012,5
07-2012,5
08-2012,10
09-2012,4
10-2012,6
11-2012,4
12-2012,7
01-2013,4
02-2013,10
03-2013,6
04-2013,12
05-2013,4
06-2013,5
07-2013,2
08-2013,6
09-2013,6
10-2013,3
11-2013,8
12-2013,12
01-2014,4
02-2014,7
03-2014,11
04-2014,10
05-2014,6
06-2014,6
07-2014,11
08-2014,7
09-2014,7
10-2014,9
11-2014,7
12-2014,7
01-2015,3
02-2015,1
03-2015,1
04-2015,1
05-2015,1
06-2015,1
07-2015,1
08-2015,1
09-2015,1
10-2015,1
11-2015,1
12-2015,1
