Date,review_count
01-2006,2
02-2006,1
03-2006,1
04-2006,3
05-2006,1
06-2006,1
07-2006,3
08-2006,2
09-2006,2
10-2006,4
11-2006,3
12-2006,3
01-2007,2
02-2007,3
03-2007,3
04-2007,3
05-2007,2
06-2007,1
07-2007,2
08-2007,4
09-2007,3
10-2007,1
11-2007,1
12-2007,2
01-2008,2
02-2008,2
03-2008,5
04-2008,4
05-2008,5
06-2008,3
07-2008,6
08-2008,3
09-2008,3
10-2008,2
11-2008,6
12-2008,11
01-2009,8
02-2009,2
03-2009,7
04-2009,3
05-2009,4
06-2009,1
07-2009,2
08-2009,6
09-2009,1
10-2009,2
11-2009,2
12-2009,7
01-2010,6
02-2010,4
03-2010,6
04-2010,7
05-2010,4
06-2010,3
07-2010,5
08-2010,7
09-2010,6
10-2010,6
11-2010,5
12-2010,4
01-2011,9
02-2011,7
03-2011,13
04-2011,10
05-2011,9
06-2011,8
07-2011,12
08-2011,7
09-2011,2
10-2011,6
11-2011,8
12-2011,10
01-2012,7
02-2012,8
03-2012,3
04-2012,10
05-2012,12
06-2012,6
07-2012,11
08-2012,5
09-2012,15
10-2012,10
11-2012,6
12-2012,4
01-2013,4
02-2013,4
03-2013,12
04-2013,7
05-2013,4
06-2013,4
07-2013,4
08-2013,5
09-2013,7
10-2013,5
11-2013,2
12-2013,5
01-2014,8
02-2014,4
03-2014,4
04-2014,5
05-2014,3
06-2014,9
07-2014,9
08-2014,6
09-2014,7
10-2014,5
11-2014,9
12-2014,13
01-2015,3
02-2015,1
03-2015,1
04-2015,1
05-2015,1
06-2015,1
07-2015,1
08-2015,1
09-2015,1
10-2015,1
11-2015,1
12-2015,1
