Date,review_count
2012-09-10,19
2012-09-17,34
2012-09-24,22
2012-10-01,35
2012-10-08,28
2012-10-15,23
2012-10-22,16
2012-10-29,25
2012-11-05,16
2012-11-12,22
2012-11-19,15
2012-11-26,19
2012-12-03,21
2012-12-10,18
2012-12-17,14
2012-12-24,32
2012-12-31,24
2013-01-07,17
2013-01-14,32
2013-01-21,17
2013-01-28,19
2013-02-04,14
2013-02-11,17
2013-02-18,28
2013-02-25,16
2013-03-04,18
2013-03-11,22
2013-03-18,15
2013-03-25,19
2013-04-01,20
2013-04-08,22
2013-04-15,14
2013-04-22,10
2013-04-29,13
2013-05-06,13
2013-05-13,19
2013-05-20,14
2013-05-27,26
2013-06-03,30
2013-06-10,19
2013-06-17,20
2013-06-24,28
2013-07-01,28
2013-07-08,18
2013-07-15,14
2013-07-22,18
2013-07-29,22
2013-08-05,29
2013-08-12,23
2013-08-19,28
2013-08-26,29
2013-09-02,27
2013-09-09,22
2013-09-16,16
2013-09-23,13
2013-09-30,11
2013-10-07,14
2013-10-14,13
2013-10-21,16
2013-10-28,21
2013-11-04,14
2013-11-11,26
2013-11-18,22
2013-11-25,25
2013-12-02,20
2013-12-09,15
2013-12-16,25
2013-12-23,33
2013-12-30,31
2014-01-06,32
2014-01-13,16
2014-01-20,22
2014-01-27,19
2014-02-03,30
2014-02-10,17
2014-02-17,19
2014-02-24,36
2014-03-03,15
2014-03-10,17
2014-03-17,17
2014-03-24,24
2014-03-31,17
2014-04-07,21
2014-04-14,24
2014-04-21,21
2014-04-28,13
2014-05-05,16
2014-05-12,22
2014-05-19,18
2014-05-26,23
2014-06-02,17
2014-06-09,23
2014-06-16,29
2014-06-23,46
2014-06-30,25
2014-07-07,33
2014-07-14,22
2014-07-21,18
2014-07-28,26
2014-08-04,18
2014-08-11,31
2014-08-18,32
2014-08-25,20
2014-09-01,26
2014-09-08,22
2014-09-15,17
2014-09-22,33
2014-09-29,12
2014-10-06,28
2014-10-13,16
2014-10-20,25
2014-10-27,13
2014-11-03,22
2014-11-10,17
2014-11-17,18
2014-11-24,25
2014-12-01,19
2014-12-08,19
2014-12-15,30
2014-12-22,42
2014-12-29,36
2015-01-05,20
