Date,review_count
01-2010,0.1
02-2010,0.1
03-2010,0.1
04-2010,0.1
05-2010,0.1
06-2010,0.1
07-2010,0.1
08-2010,0.1
09-2010,0.1
10-2010,0.1
11-2010,0.1
12-2010,46.8
01-2011,68.5
02-2011,44.3
03-2011,58.5
04-2011,174.5
05-2011,77.2
06-2011,77.8
07-2011,83.2
08-2011,90.1
09-2011,55.0
10-2011,62.4
11-2011,89.4
12-2011,123.7
01-2012,104.3
02-2012,55.5
03-2012,88.0
04-2012,67.3
05-2012,75.3
06-2012,84.6
07-2012,89.8
08-2012,95.2
09-2012,44.6
10-2012,67.9
11-2012,52.5
12-2012,62.6
01-2013,111.7
02-2013,37.5
03-2013,59.5
04-2013,77.0
05-2013,65.1
06-2013,83.1
07-2013,143.3
08-2013,60.5
09-2013,86.7
10-2013,37.6
11-2013,37.6
12-2013,82.0
01-2014,58.0
02-2014,45.0
03-2014,50.7
04-2014,69.2
05-2014,37.3
06-2014,72.8
07-2014,112.9
08-2014,81.0
09-2014,96.4
10-2014,59.7
11-2014,31.8
12-2014,26.3
01-2015,15.2
02-2015,0.1
03-2015,0.1
04-2015,0.1
05-2015,0.1
06-2015,0.1
07-2015,0.1
08-2015,0.1
09-2015,0.1
10-2015,0.1
11-2015,0.1
12-2015,0.1
