Date,Popularity_index
01-2005,0.1
02-2005,0.1
03-2005,0.1
04-2005,0.1
05-2005,0.2
06-2005,0.1
07-2005,0.1
08-2005,0.1
09-2005,0.1
10-2005,0.1
11-2005,0.1
12-2005,0.1
01-2006,1.3
02-2006,0.1
03-2006,0.1
04-2006,1.6
05-2006,0.1
06-2006,0.3
07-2006,1.2
08-2006,3.0
09-2006,3.3
10-2006,1.1
11-2006,0.5
12-2006,0.6
01-2007,2.3
02-2007,1.6
03-2007,0.9
04-2007,6.4
05-2007,3.0
06-2007,2.9
07-2007,4.3
08-2007,2.4
09-2007,0.3
10-2007,0.2
11-2007,1.4
12-2007,0.1
01-2008,4.7
02-2008,1.4
03-2008,1.9
04-2008,7.0
05-2008,3.3
06-2008,7.7
07-2008,4.1
08-2008,5.7
09-2008,6.3
10-2008,5.0
11-2008,0.6
12-2008,5.6
01-2009,1.3
02-2009,0.2
03-2009,1.1
04-2009,3.6
05-2009,1.2
06-2009,0.1
07-2009,0.3
08-2009,0.2
09-2009,1.5
10-2009,0.2
11-2009,3.2
12-2009,2.1
01-2010,1.2
02-2010,1.6
03-2010,2.4
04-2010,4.4
05-2010,1.4
06-2010,1.2
07-2010,0.4
08-2010,12.1
09-2010,0.3
10-2010,1.3
11-2010,3.7
12-2010,1.2
01-2011,11.5
02-2011,4.0
03-2011,2.7
04-2011,6.4
05-2011,26.9
06-2011,11.3
07-2011,1.3
08-2011,2.9
09-2011,1.4
10-2011,2.5
11-2011,5.9
12-2011,1.8
01-2012,14.2
02-2012,16.1
03-2012,5.1
04-2012,9.5
05-2012,4.4
06-2012,7.1
07-2012,2.9
08-2012,1.5
09-2012,7.8
10-2012,3.1
11-2012,3.7
12-2012,2.4
01-2013,4.1
02-2013,2.9
03-2013,2.3
04-2013,4.4
05-2013,0.3
06-2013,3.1
07-2013,0.2
08-2013,3.4
09-2013,0.5
10-2013,1.5
11-2013,2.9
12-2013,4.1
01-2014,62.8
02-2014,6.9
03-2014,7.5
04-2014,0.9
05-2014,1.9
06-2014,2.1
07-2014,10.2
08-2014,4.1
09-2014,0.6
10-2014,2.0
11-2014,3.3
12-2014,5.4
