Date,Popularity_index
01-2005,0.1
02-2005,0.1
03-2005,0.1
04-2005,0.1
05-2005,0.1
06-2005,0.1
07-2005,0.1
08-2005,0.1
09-2005,0.2
10-2005,0.1
11-2005,0.1
12-2005,0.1
01-2006,0.3
02-2006,0.1
03-2006,0.1
04-2006,0.1
05-2006,0.1
06-2006,0.1
07-2006,0.9
08-2006,1.1
09-2006,0.2
10-2006,0.1
11-2006,0.1
12-2006,0.1
01-2007,0.1
02-2007,0.2
03-2007,0.1
04-2007,0.1
05-2007,1.1
06-2007,0.2
07-2007,0.1
08-2007,0.2
09-2007,0.3
10-2007,0.1
11-2007,0.3
12-2007,0.2
01-2008,0.1
02-2008,0.1
03-2008,1.6
04-2008,0.1
05-2008,5.0
06-2008,0.1
07-2008,4.8
08-2008,1.1
09-2008,2.2
10-2008,4.7
11-2008,0.3
12-2008,14.8
01-2009,2.2
02-2009,5.3
03-2009,1.9
04-2009,1.2
05-2009,4.4
06-2009,0.3
07-2009,6.4
08-2009,4.6
09-2009,0.6
10-2009,0.3
11-2009,0.1
12-2009,8.3
01-2010,33.3
02-2010,5.4
03-2010,7.7
04-2010,7.8
05-2010,11.5
06-2010,5.2
07-2010,2.6
08-2010,5.3
09-2010,12.0
10-2010,13.2
11-2010,6.4
12-2010,9.7
01-2011,7.2
02-2011,1.7
03-2011,5.5
04-2011,5.6
05-2011,2.3
06-2011,1.3
07-2011,4.9
08-2011,0.7
09-2011,2.2
10-2011,26.3
11-2011,4.0
12-2011,1.4
01-2012,1.8
02-2012,3.8
03-2012,4.7
04-2012,2.1
05-2012,16.5
06-2012,1.2
07-2012,3.0
08-2012,7.0
09-2012,2.4
10-2012,8.5
11-2012,1.8
12-2012,3.0
01-2013,3.8
02-2013,5.8
03-2013,8.6
04-2013,19.5
05-2013,1.7
06-2013,7.3
07-2013,0.2
08-2013,2.2
09-2013,3.4
10-2013,3.8
11-2013,14.4
12-2013,16.9
01-2014,1.1
02-2014,3.0
03-2014,9.1
04-2014,13.1
05-2014,8.3
06-2014,0.6
07-2014,4.5
08-2014,2.8
09-2014,2.1
10-2014,3.9
11-2014,4.8
12-2014,0.7
01-2015,1.7
02-2015,0.1
03-2015,0.1
04-2015,0.1
05-2015,0.1
06-2015,0.1
07-2015,0.1
08-2015,0.1
09-2015,0.1
10-2015,0.1
11-2015,0.1
12-2015,0.1
