Date,Popularity_index
01-2006,0.2
02-2006,0.1
03-2006,0.1
04-2006,0.3
05-2006,0.1
06-2006,0.1
07-2006,1.4
08-2006,0.2
09-2006,0.2
10-2006,0.4
11-2006,1.6
12-2006,3.0
01-2007,1.1
02-2007,0.5
03-2007,4.0
04-2007,2.3
05-2007,0.9
06-2007,0.1
07-2007,0.2
08-2007,0.4
09-2007,1.7
10-2007,0.1
11-2007,0.1
12-2007,0.2
01-2008,0.9
02-2008,0.2
03-2008,0.5
04-2008,0.4
05-2008,2.8
06-2008,3.0
07-2008,6.0
08-2008,0.3
09-2008,6.6
10-2008,0.2
11-2008,6.7
12-2008,20.3
01-2009,22.7
02-2009,1.1
03-2009,2.3
04-2009,0.3
05-2009,0.4
06-2009,0.1
07-2009,0.2
08-2009,3.3
09-2009,0.1
10-2009,2.0
11-2009,0.2
12-2009,5.7
01-2010,9.1
02-2010,1.3
03-2010,3.3
04-2010,6.1
05-2010,1.5
06-2010,2.1
07-2010,0.5
08-2010,3.4
09-2010,1.5
10-2010,7.9
11-2010,1.9
12-2010,5.6
01-2011,7.0
02-2011,5.3
03-2011,2.9
04-2011,4.4
05-2011,6.1
06-2011,1.5
07-2011,4.8
08-2011,0.7
09-2011,0.2
10-2011,0.6
11-2011,7.8
12-2011,4.2
01-2012,10.4
02-2012,2.6
03-2012,1.7
04-2012,9.9
05-2012,2.6
06-2012,0.6
07-2012,3.1
08-2012,2.8
09-2012,27.2
10-2012,3.7
11-2012,4.1
12-2012,2.9
01-2013,5.8
02-2013,1.5
03-2013,10.5
04-2013,4.3
05-2013,2.7
06-2013,4.0
07-2013,3.2
08-2013,1.2
09-2013,2.5
10-2013,1.2
11-2013,1.8
12-2013,5.0
01-2014,32.4
02-2014,6.7
03-2014,6.6
04-2014,2.8
05-2014,1.2
06-2014,3.4
07-2014,4.3
08-2014,6.0
09-2014,12.6
10-2014,0.7
11-2014,3.4
12-2014,2.9
01-2015,0.3
02-2015,0.1
03-2015,0.1
04-2015,0.1
05-2015,0.1
06-2015,0.1
07-2015,0.1
08-2015,0.1
09-2015,0.1
10-2015,0.1
11-2015,0.1
12-2015,0.1
